search URL:,https://patents.google.com/?q=Silica+wool&country=US&before=priority:20190731&after=priority:20190701&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021028517-A1,Battery Module ,"Sk Innovation Co., Ltd.","Ha Neul Choi, Hae Ryong Jeon, Ha Chul JEONG",2019-07-23,2020-07-22,2021-01-28,,https://patents.google.com/patent/US20210028517A1/en,https://patentimages.storage.googleapis.com/2f/3b/09/e8be63bc2a72e4/US20210028517A1-20210128-D00000.png
US-2021018426-A1,Metal loss determinations based on thermography machine learning approach for insulated structures ,Saudi Arabian Oil Company,"Ayman Amer, Ali Al Shehri, Vincent Cunningham",2019-07-16,2019-07-16,2021-01-21,,https://patents.google.com/patent/US20210018426A1/en,https://patentimages.storage.googleapis.com/0a/b3/4d/8d4b6eb807c841/US20210018426A1-20210121-D00000.png
US-11186245-B2,Seat with airbag ,"Ford Global Technologies, Llc","Mangesh Kadam, Srinivas Reddy Malapati, Yuqin Zhao",2019-07-11,2019-07-11,2021-11-30,2021-11-30,https://patents.google.com/patent/US11186245B2/en,https://patentimages.storage.googleapis.com/08/9b/de/474cd2dc5400e7/US11186245-20211130-D00000.png
US-2021022445-A1,Polyolefin-based synthetic leather and articles formed therefrom ,"Nike, Inc.","Bhupesh Dua, Isaac Farr, Devon Frazier, Jeremy D. Walker, Zachary C. Wright",2019-07-24,2020-07-21,2021-01-28,,https://patents.google.com/patent/US20210022445A1/en,https://patentimages.storage.googleapis.com/7c/a5/00/ef6f2372e0cb45/US20210022445A1-20210128-D00000.png
US-2021000417-A1,Thermosensitive nanosensor for instantaneous transcutaneous biological measurement ,Nanowear Inc.,"Vijay Varadan, Pratyush Rai, Gyanesh Mathur",2019-07-01,2020-06-30,2021-01-07,,https://patents.google.com/patent/US20210000417A1/en,https://patentimages.storage.googleapis.com/69/28/b9/6ed8ebfc332c93/US20210000417A1-20210107-D00000.png
US-2021009068-A1,Seat supported airbag ,"Ford Global Technologies, Llc","S.M. Iskander FAROOQ, Mohammad Omar Faruque, Dean M. Jaradi",2019-07-11,2020-07-08,2021-01-14,,https://patents.google.com/patent/US20210009068A1/en,https://patentimages.storage.googleapis.com/5b/57/a6/ba7e99ec309aae/US20210009068A1-20210114-D00000.png
US-11173866-B2,Airbag having knee chamber and upper chamber ,"Ford Global Technologies, Llc","Zhibing Deng, Tzu-Chen Weng, Deepak Patel",2019-07-24,2019-07-24,2021-11-16,2021-11-16,https://patents.google.com/patent/US11173866B2/en,https://patentimages.storage.googleapis.com/a7/0e/24/261e2e1f70b538/US11173866-20211116-D00000.png
US-11117544-B2,Curtain airbag with anti-wrapping tether ,ZF Passive Safety Systems US Inc.,"Dylan P. Moran, Richard C. Patton, Avadhoot R. Paranjpe",2019-07-01,2019-07-01,2021-09-14,2021-09-14,https://patents.google.com/patent/US11117544B2/en,https://patentimages.storage.googleapis.com/03/4b/61/c81a79ab4349f1/US11117544-20210914-D00000.png
US-2021028452-A1,Rechargeable battery using iron negative electrode and manganese oxide positive electrode ,"Form Energy Inc.,","Liang Su, Jarrod David MILSHTEIN, William Henry Woodford, Yet-Ming Chiang, Jay Whitacre, Lucas Cohen, Rupak Chakraborty, Andrew Haynes LIOTTA, Ian Salmon McKay, Thomas CONRY, Michael Andrew Gibson, Jocelyn Marie NEWHOUSE, Amelie Nina KHAREY, Annelise Christine THOMPSON, Weston Smith, Joseph Anthony PANTANO, Isabella CARUSO, Benjamin Thomas HULTMAN, Max Rae CHU, Nicholas Perkins, Florian WEHNER, Rebecca EISENACH, Mitchell Terrance Westwood, Tristan GILBERT, Rachel Elizabeth MUMMA, Brandon UBER, Eric Weber, Danielle Cassidy SMITH, Brooke WOJESKI",2019-07-26,2020-07-25,2021-01-28,,https://patents.google.com/patent/US20210028452A1/en,https://patentimages.storage.googleapis.com/c9/ad/ec/263b94156ab995/US20210028452A1-20210128-D00000.png
US-2021002438-A1,Flexible particle-laden elastomeric textiles with penetration resistance ,"Ponnambalam Ravi Selvaganapathy, Chan Yu Ching, Kamrul Russel, Syed Naveed Iqbal Haider Rizvi, Dariush Firouzi","Ponnambalam Ravi Selvaganapathy, Chan Yu Ching, Kamrul Russel, Syed Naveed Iqbal Haider Rizvi, Dariush Firouzi",2019-07-05,2019-07-05,2021-01-07,,https://patents.google.com/patent/US20210002438A1/en,https://patentimages.storage.googleapis.com/dc/02/26/f71a78e241fa05/US20210002438A1-20210107-D00000.png
US-11191197-B2,"Method, system and paint for EMI suppression ",Mellanox Technologies. Ltd,"Avner Badihi, Pavel VILNER, Inbar Gozlan, Amir Pinhasovich",,2019-07-25,2021-11-30,2021-11-30,https://patents.google.com/patent/US11191197B2/en,https://patentimages.storage.googleapis.com/f9/0d/ef/caeaebf622e1d5/US11191197-20211130-D00000.png
US-2021009922-A1,Methods and compositions for reducing persistent odor in clothing and mitigating biofilms ,"Shannon E Klingman, Jeffrey Dean Lindsay","Shannon E Klingman, Jeffrey Dean Lindsay",2019-07-10,2020-07-10,2021-01-14,,https://patents.google.com/patent/US20210009922A1/en,https://patentimages.storage.googleapis.com/c9/fd/14/29fe029526cad4/US20210009922A1-20210114-D00000.png
US-2021236403-A1,"Cosmetic, personal care, and cleaning products ","Planet Lindsay, LLC",Jeffrey Dean Lindsay,2019-07-10,2021-04-22,2021-08-05,,https://patents.google.com/patent/US20210236403A1/en,https://patentimages.storage.googleapis.com/3c/a6/5e/33f3ee63840880/US20210236403A1-20210805-D00000.png
US-2021002890-A1,Sag-resistant acoustic board ,"Armstrong World Industries, Inc.","Charles G. Krick, Bruce E. Adams, Kimberly S. Diffenbaugh",2019-07-01,2020-07-01,2021-01-07,,https://patents.google.com/patent/US20210002890A1/en,https://patentimages.storage.googleapis.com/be/72/bc/b5e771b989227f/US20210002890A1-20210107-D00000.png
US-2021130558-A1,Composite articles with reduced discoloration and methods of promoting or reducing color changes in composite articles ,"Hanwha Azdel, Inc.","Peng Cheng, Hongyu Chen, Liqing Wei, Ruomiao Wang",2019-07-18,2020-07-18,2021-05-06,,https://patents.google.com/patent/US20210130558A1/en,https://patentimages.storage.googleapis.com/34/25/33/2b282e9ee36d04/US20210130558A1-20210506-D00000.png
US-2021002175-A1,Ceramic panel including slag and stone dust ,"Hae Sik LEE, Haewonmsc Co.,Ltd",Hae Sik LEE,2019-07-05,2020-06-10,2021-01-07,,https://patents.google.com/patent/US20210002175A1/en,
US-2021017386-A1,Recycling of sterol-containing asphalt binder ,"A.L.M. Holding Company, Ergon Asphalt & Emulsions, Inc.","Gerald H. Reinke, Gaylon L. Baumgardner, Andrew Hanz",2019-07-15,2020-07-15,2021-01-21,,https://patents.google.com/patent/US20210017386A1/en,https://patentimages.storage.googleapis.com/ca/4e/7a/0da73be11c49eb/US20210017386A1-20210121-D00000.png
US-2021016233-A1,Separation apparatus and method of operating separation apparatus ,"Ngk Insulators, Ltd.",Kenichi Noda,2019-07-19,2020-06-26,2021-01-21,,https://patents.google.com/patent/US20210016233A1/en,https://patentimages.storage.googleapis.com/3c/64/82/9ee879636fbbbc/US20210016233A1-20210121-D00000.png
US-2021002817-A1,"Ceramic coated antibacterial fabric, and method for manufacturing the same ","Bong-hak LIM, Jong-hui AN, Bo-ra LIM","Bong-hak LIM, Jong-hui AN, Bo-ra LIM",2019-07-02,2020-06-26,2021-01-07,,https://patents.google.com/patent/US20210002817A1/en,https://patentimages.storage.googleapis.com/57/85/66/e8e59b798de570/US20210002817A1-20210107-D00000.png
