search URL:,https://patents.google.com/?q=ceramic+fibers&country=US&before=priority:20181231&after=priority:20181201&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2020203595-A1,Ceramic piezoelectric fiber composite material and shoe having the same ,Industrial Technology Research Institute,"Min Yan DONG, Chia-Hsin Lin",2018-12-25,2019-11-06,2020-06-25,,https://patents.google.com/patent/US20200203595A1/en,https://patentimages.storage.googleapis.com/98/1a/6f/4fa5591af130e0/US20200203595A1-20200625-D00000.png
US-11180599-B2,Polyisocyanurate based polymers and fiber reinforced composites ,"Trimer Technologies, Llc",Henry A Sodano,2018-12-11,2020-09-23,2021-11-23,2021-11-23,https://patents.google.com/patent/US11180599B2/en,https://patentimages.storage.googleapis.com/76/45/12/cae6bd2f21d2a0/US11180599-20211123-D00001.png
US-2020170186-A1,Autonomous mower with adjustable cutting height ,The Toro Company,Aaron Y. Curtis,2018-12-03,2019-11-26,2020-06-04,,https://patents.google.com/patent/US20200170186A1/en,https://patentimages.storage.googleapis.com/19/61/43/48e1407d70fd91/US20200170186A1-20200604-D00000.png
US-2020148399-A1,Expandable systems for space ,Thin Red Line Aerospace Ltd,"Maxim de Jong, Brian Aiken",2018-12-24,2019-12-24,2020-05-14,,https://patents.google.com/patent/US20200148399A1/en,https://patentimages.storage.googleapis.com/82/d3/09/fc57066fd45467/US20200148399A1-20200514-D00000.png
US-2020200363-A1,Fiber-delivered laser-induced dynamic light system ,"Soraa Laser Diode, Inc.","Jim Harrison, Lj Ristic, Oscar Romero, Eric Goutain, Paul Rudy, James W. RARING, Vlad Novotny",2018-12-21,2018-12-21,2020-06-25,,https://patents.google.com/patent/US20200200363A1/en,https://patentimages.storage.googleapis.com/31/e1/b1/69c0bcc1a63279/US20200200363A1-20200625-D00000.png
US-2020210633-A1,Method for predicting high-temperature fatigue shear stress in fiber/matrix interface of woven ceramic-matrix composite by hysteresis dissipated energy ,Nanjing University Of Aeronautics And Astronautics,Longbiao Li,2018-12-29,2019-08-27,2020-07-02,,https://patents.google.com/patent/US20200210633A1/en,https://patentimages.storage.googleapis.com/3d/80/8e/57a07a8f25e81e/US20200210633A1-20200702-D00000.png
US-10939883-B2,Lifting apparatus and a radiation system including the same ,"Shanghai United Imaging Healthcare Co., Ltd.","Yang Tang, Xuegang ZHONG",2018-12-18,2019-07-08,2021-03-09,2021-03-09,https://patents.google.com/patent/US10939883B2/en,https://patentimages.storage.googleapis.com/29/fa/bd/06fa677c5454ec/US10939883-20210309-D00000.png
US-2020181351-A1,Methods of manufacturing articles utilizing foam particles ,"Nike, Inc.","Page J. Bailey, Jay CONSTANTINOU, Harleigh Doremus, Luis Folgar, Brandon Kvamme, Joseph Thomas Muth, Denis Schiller",2018-12-06,2019-11-19,2020-06-11,,https://patents.google.com/patent/US20200181351A1/en,https://patentimages.storage.googleapis.com/d1/e8/9d/b25a59a0cb71b3/US20200181351A1-20200611-D00000.png
US-2020170676-A1,Novel surgical methods for the treatment of spinal stenosis ,Spinewelding Ag,Dieter Grob,2018-12-04,2018-12-04,2020-06-04,,https://patents.google.com/patent/US20200170676A1/en,https://patentimages.storage.googleapis.com/cd/81/79/132eb6b472a8f4/US20200170676A1-20200604-D00000.png
US-10598875-B2,Photonic package with a bridge between a photonic die and an optical coupling structure ,Intel Corporation,Boping Xie,2018-12-14,2018-12-14,2020-03-24,2020-03-24,https://patents.google.com/patent/US10598875B2/en,https://patentimages.storage.googleapis.com/3a/39/11/58715175341994/US10598875-20200324-D00000.png
US-2020185157-A1,Solid Electrolytic Capacitor Containing An Intrinsically Conductive Polymer ,Avx Corporation,"Miloslav Uher, Kiyofumi Aoki, Pavel Kucharczyk",2018-12-11,2019-12-11,2020-06-11,,https://patents.google.com/patent/US20200185157A1/en,https://patentimages.storage.googleapis.com/df/63/ae/69cb3665464390/US20200185157A1-20200611-D00000.png
