search URL:,https://patents.google.com/?q=ceramic+fibers&country=US&before=priority:20190228&after=priority:20190201&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10704872-B1,Polymer ammunition and cartridge having a convex primer insert ,"True Velocity Ip Holdings, Llc","Lonnie Burrow, Christopher William Overton",2019-02-14,2019-02-14,2020-07-07,2020-07-07,https://patents.google.com/patent/US10704872B1/en,https://patentimages.storage.googleapis.com/45/e4/4c/97d4d2143cb661/US10704872-20200707-D00000.png
US-10704879-B1,Polymer ammunition and cartridge having a convex primer insert ,"True Velocity Ip Holdings, Llc","Lonnie Burrow, Christopher William Overton",2019-02-14,2019-02-14,2020-07-07,2020-07-07,https://patents.google.com/patent/US10704879B1/en,https://patentimages.storage.googleapis.com/88/18/fe/dce8cb4d0e2314/US10704879-20200707-D00000.png
US-2020263962-A1,Polymer ammunition and cartridge having a convex primer insert ,"True Velocity Ip Holdings, Llc","Lonnie Burrow, Christopher William Overton",2019-02-14,2019-02-14,2020-08-20,,https://patents.google.com/patent/US20200263962A1/en,https://patentimages.storage.googleapis.com/b7/ff/27/5566d0917e02c1/US20200263962A1-20200820-D00000.png
US-2021270588-A1,Polymer ammunition and cartridge having a convex primer insert ,"True Velocity Ip Holdings, Llc","Lonnie Burrow, Christopher William Overton",2019-02-14,2021-01-14,2021-09-02,,https://patents.google.com/patent/US20210270588A1/en,https://patentimages.storage.googleapis.com/31/63/12/6ccad5a28dfddc/US20210270588A1-20210902-D00000.png
US-10704880-B1,Polymer ammunition and cartridge having a convex primer insert ,"True Velocity Ip Holdings, Llc","Lonnie Burrow, Christopher William Overton",2019-02-14,2019-02-14,2020-07-07,2020-07-07,https://patents.google.com/patent/US10704880B1/en,https://patentimages.storage.googleapis.com/d1/f1/a8/1717d87c02dedb/US10704880-20200707-D00000.png
US-2021079804-A1,Cmc component with integral cooling channels and method of manufacture ,United Technologies Corporation,"Thomas E. Clark, Daniel J. Whitney, Kathryn S. Read, Andrew J. Lazur, William M. Barker",2019-02-08,2020-02-07,2021-03-18,,https://patents.google.com/patent/US20210079804A1/en,https://patentimages.storage.googleapis.com/33/e7/ca/7fffe921f48c2f/US20210079804A1-20210318-D00000.png
US-2020251929-A1,"System and method for infrastructure, vehicle and internet of things wireless chargers ","Mojo Mobility, Inc.",Afshin Partovi,2019-02-05,2020-02-05,2020-08-06,,https://patents.google.com/patent/US20200251929A1/en,https://patentimages.storage.googleapis.com/31/3a/96/f1628ebf7dad79/US20200251929A1-20200806-D00000.png
US-2020274236-A1,Tip clearance sensor system with an integral patch antenna array ,"Rolls-Royce Corporation, Rolls-Royce North American Technologies Inc.","John Joseph Costello, Richard Joseph Skertic, Glen Steven Bishop, Geoffrey L. Gatton",2019-02-26,2019-02-26,2020-08-27,,https://patents.google.com/patent/US20200274236A1/en,https://patentimages.storage.googleapis.com/81/25/1a/1d0af4e31081c4/US20200274236A1-20200827-D00000.png
US-2020266602-A1,All-fiber airtight packaging structure and method with semiconductor saturable absorber mirror ,Wuhan Yangtze Soton Laser Co. Ltd.,"Wei Wan, Kangkang CHEN, Fei He, Si Zou, Jianxin Luo",2019-02-19,2020-02-17,2020-08-20,,https://patents.google.com/patent/US20200266602A1/en,https://patentimages.storage.googleapis.com/bf/b1/4e/8df3462e01b836/US20200266602A1-20200820-D00000.png
US-2020266431-A1,"Anode material, and electrochemical device and electronic device comprising the same ",Ningde Amperex Technology Limited,"Chengbo Zhang, Hang Cui, Yuansen XIE",2019-02-20,2019-07-01,2020-08-20,,https://patents.google.com/patent/US20200266431A1/en,https://patentimages.storage.googleapis.com/a6/5e/80/66bfba5d766e21/US20200266431A1-20200820-D00000.png
