Id,Label,그룹,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality,원문,번역,
E05Y2900,E05Y2900,,,51,14066.61727,8,0.326967,0.358503,0.004446,26,0.258776,317,0.138629,,,
E06B2009,E06B2009,,,32,18674.94313,7,0.336341,0.361663,0.002833,11,0.372043,173,0.149222,,,
E06B9,E06B9,,,36,16476.8605,7,0.342573,0.36956,0.003933,11,0.332773,198,0.165518,,,
F16B5,F16B5,,,12,5708.563873,8,0.276039,0.293654,0.000518,11,0.436364,24,0.017234,,,
F16M11,F16M11,,,17,5972.054115,8,0.276667,0.294548,0.001037,30,0.383333,46,0.011053,,,
F16M13,F16M13,,,13,3092.996437,9,0.263422,0.280056,0.000276,30,0.560606,37,0.00753,,,
F25D17,F25D17,,,13,1928.090652,9,0.239432,0.252431,0.006384,8,0.636364,42,0.004465,,,
F25D23,F25D23,,,10,3275.601212,8,0.272074,0.287138,0.002002,30,0.5,18,0.010208,,,
F25D3,F25D3,,,5,673.457527,9,0.239234,0.2507,0,8,1,6,0.002122,,,
G05D1,G05D1,,,76,41511.89313,8,0.342929,0.379367,0.011406,26,0.259099,719,0.217322,,,
G05D2201,G05D2201,,,47,11373.08822,8,0.325081,0.355524,0.002713,26,0.355556,368,0.13833,,,
Y02A40,Y02A40,,,8,1546.142067,7,0.277998,0.293226,0.000087,11,0.809524,17,0.013773,,,
A01K11,A01K11,,,6,717.348457,8,0.292199,0.31036,0,26,0.7,7,0.019496,,,
A61B2503,A61B2503,,,12,2218.583889,8,0.30464,0.326965,0.000021,26,0.618182,34,0.045543,,,
A61B5,A61B5,6,,165,247960.5883,7,0.398105,0.446373,0.042005,26,0.12457,1665,0.530003,"Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00) ; Identification of persons","진단을 위한 측정 (방사선 진단 A61B6/00; 초음파, 음파 또는 아음파를 이용한 진단 A61B8/00); 개인식별",
G06N20,G06N20,,,112,49230.29353,7,0.35331,0.395515,0.007349,26,0.181163,1106,0.334145,Machine learning,기계 학습,기계학습
A01K15,A01K15,,,28,8527.50946,8,0.3076,0.332562,0.003433,26,0.259259,91,0.044622,,,
A45D24,A45D24,,,6,3057.10144,9,0.243751,0.25577,0,8,1,10,0.002914,,,
A46B13,A46B13,,,13,5007.806503,8,0.249757,0.263512,0.000146,8,0.530303,35,0.006099,,,
A46B15,A46B15,,,32,7601.704201,8,0.30464,0.326987,0.002389,8,0.397849,185,0.037828,,,
A46B17,A46B17,,,10,2137.511597,8,0.249676,0.262863,0.000066,8,0.722222,26,0.005673,,,
A46B2200,A46B2200,,,45,13940.33755,8,0.308999,0.334184,0.009806,8,0.237844,225,0.042423,,,
A46B3,A46B3,,,11,2422.791847,9,0.243879,0.256852,0.000027,8,0.711111,32,0.005508,,,
A46B5,A46B5,,,7,810.7015,9,0.243776,0.255987,0,8,1,15,0.003995,,,
A46B9,A46B9,,,15,7116.562851,9,0.243982,0.257718,0.000046,8,0.549451,50,0.006749,,,
A47K3,A47K3,,,3,236.890457,9,0.221191,0.230821,0,8,1,1,0.000862,,,
B26B19,B26B19,,,3,1829.640015,9,0.221191,0.230821,0,8,1,1,0.000862,,,
B65D21,B65D21,,,17,10725.76773,7,0.282415,0.299551,0.000452,30,0.533333,64,0.023092,,,
G08B21,G08B21,,,112,59078.79545,8,0.351536,0.394158,0.01278,26,0.174775,1067,0.292759,Alarms responsive to a single specified undesired or abnormal operating condition and not elsewhere provided for,단일의 특정한 바람직하지 못한 또는 이상 동작 상태에 응답하는 경보 및 다른 곳에 속하지 않는 것,
G08B7,G08B7,,,17,3152.876801,8,0.290802,0.312008,0.000298,15,0.491667,59,0.030475,,,
A01K5,A01K5,,,12,6520.16552,8,0.280325,0.297018,0.000385,26,0.381818,21,0.01223,,,
A01M29,A01M29,,,10,8995.533363,8,0.279207,0.294274,0.000064,26,0.694444,25,0.009943,,,
A23K10,A23K10,,,10,5566.220604,8,0.271021,0.284801,0.000133,23,0.722222,26,0.008539,,,
A23K20,A23K20,,,12,4079.106003,8,0.271085,0.285234,0.001733,23,0.527273,29,0.008957,,,
A45C13,A45C13,,,29,8474.5811,8,0.315926,0.341093,0.001722,30,0.330688,125,0.056456,,,
A63B2208,A63B2208,,,13,2571.792305,8,0.255077,0.26908,0.000518,11,0.530303,35,0.011327,,,
A63B2209,A63B2209,,,40,23817.73998,7,0.316749,0.342277,0.007969,11,0.338731,251,0.141431,,,
A63B2225,A63B2225,,,30,15893.65141,7,0.316142,0.339825,0.002056,11,0.527094,214,0.13673,,,
A63B47,A63B47,,,25,7032.657913,7,0.315323,0.338065,0.000677,11,0.699275,193,0.134492,,,
A63B65,A63B65,,,8,2246.938858,8,0.25488,0.267854,0,11,1,21,0.009814,,,
A63H3,A63H3,,,15,7357.306656,8,0.308916,0.332035,0.001274,8,0.637363,58,0.038746,,,
E06B7,E06B7,,,44,8286.154793,7,0.337028,0.363668,0.00704,11,0.267996,242,0.149338,,,
F41B3,F41B3,,,8,2246.938858,8,0.25488,0.267854,0,11,1,21,0.009814,,,
G01H17,G01H17,,,5,443.27668,8,0.268315,0.282187,0,26,1,6,0.00632,,,
G01S13,G01S13,,,58,26499.48314,7,0.351109,0.381892,0.011374,26,0.241228,385,0.148685,,,
G01S19,G01S19,,,14,9095.137131,8,0.306661,0.327268,0.000048,26,0.576923,45,0.035157,,,
G01S5,G01S5,,,14,5567.354355,8,0.306621,0.327196,0.000078,26,0.564103,44,0.0343,,,
G10L25,G10L25,,,25,10155.48278,8,0.316229,0.344281,0.001066,26,0.355072,98,0.087237,,,
H04B17,H04B17,,,14,5822.769882,8,0.29029,0.309758,0.000154,26,0.551282,43,0.021241,,,
H04R1,H04R1,,,61,30817.2542,7,0.351216,0.383818,0.009108,13,0.20113,356,0.160209,,,
H04W4,H04W4,6,,150,79154.6811,8,0.357463,0.406267,0.017768,26,0.138037,1522,0.390815,Services specially adapted for wireless communication networks; Facilities therefor,무선통신네트워크에 특히 적용된 서비스; 그것을 위한 설비,
A01K17,A01K17,,,3,265.508652,10,0.189147,0.194029,0,13,1,1,0.000448,,,
A45D29,A45D29,,,6,1461.199173,9,0.233246,0.242789,0.0008,13,0.7,7,0.002434,,,
A45F2200,A45F2200,,,24,6533.323875,8,0.3034,0.324254,0.001922,30,0.371542,94,0.028148,,,
A45F5,A45F5,,,27,7032.69722,8,0.297503,0.318614,0.001814,30,0.32,104,0.023355,,,
A47L13,A47L13,,,28,9422.152336,7,0.281692,0.300463,0.004788,23,0.336182,118,0.017874,,,
F21W2131,F21W2131,,,18,3082.809151,8,0.281452,0.300786,0.00044,19,0.448529,61,0.022564,,,
A45C2013,A45C2013,,,14,2016.466911,8,0.290582,0.307399,0.000067,30,0.666667,52,0.019483,,,
A45F2003,A45F2003,,,11,2273.005943,8,0.270008,0.284884,0.00003,30,0.8,36,0.00829,,,
A45F3,A45F3,,,17,5507.02375,8,0.283802,0.302207,0.000223,30,0.55,66,0.022802,,,
B65D83,B65D83,,,46,14566.48303,7,0.328407,0.355042,0.004412,30,0.231313,229,0.086134,,,
F21L4,F21L4,,,25,10954.92008,8,0.287259,0.307053,0.000326,19,0.460145,127,0.036431,,,
F21V33,F21V33,,,56,9932.949284,7,0.33688,0.369574,0.005701,19,0.264646,393,0.145219,,,
A47G11,A47G11,,,6,1302.540344,8,0.266275,0.279587,0.000058,5,0.6,6,0.005345,,,
A61B2562,A61B2562,,,44,19821.74749,7,0.361094,0.392255,0.002717,26,0.272425,246,0.210714,,,
A61D3,A61D3,,,4,372.046532,9,0.246296,0.258085,0,5,1,3,0.002415,,,
A61D7,A61D7,,,21,3749.045845,8,0.285591,0.305481,0.000479,8,0.610526,116,0.025107,,,
A61D99,A61D99,,,18,3427.501251,8,0.280393,0.299625,0.000142,8,0.808824,110,0.022927,,,
B65D33,B65D33,,,43,14736.30634,7,0.331374,0.359492,0.005249,11,0.355401,306,0.169136,,,
E05D11,E05D11,,,15,3060.099388,8,0.300481,0.321268,0.0001,19,0.637363,58,0.050988,,,
E05D3,E05D3,,,11,2667.20787,8,0.293349,0.311496,0.000042,19,0.688889,31,0.02744,,,
E05D7,E05D7,,,14,2161.509193,8,0.298194,0.318253,0.000084,19,0.641026,50,0.045077,,,
E05F3,E05F3,,,7,868.756332,8,0.271595,0.284426,0,19,1,15,0.00769,,,
G06K2009,G06K2009,,,33,7815.270264,7,0.334104,0.361742,0.00057,26,0.415323,206,0.139673,,,
G06K9,G06K9,6,,188,193522.4964,7,0.388534,0.441159,0.02453,26,0.137657,2394,0.626533,"Methods or arrangements for reading or recognising printed or written characters or for recognising patterns, e.g. fingerprints (processing or analysis of tracks of nuclear particles G01T5/02{; information retrieval G06F16/00; radio frequency identificati","인쇄문자, 손으로 쓴 문자를 독취하거나 인식 또는 패턴을 인식하기 위한 방법 또는 장치, 예. 지문인식 (핵입자 비적의 분석 또는 처리 G01T5/02; {정보검색 G06F16/00; 무선 주파수 식별 G06K7/00; 바코드 및 유사한 코드의 인식 G06K7/10; 특정한 컴퓨터 모델을 기반으로하는 컴퓨터 시스템 G06N; 이미지 분석, 검사, 위치결정 또는 추적 G06T7/00; 어쿠스틱 음성 신호의 인식 G10L15/00; 어쿠스틱 화자 식별 G1","인식장치(문자인식, "
H04L12,H04L12,,,33,19911.18657,8,0.319994,0.348767,0.000852,26,0.350806,174,0.106505,,,
H04L67,H04L67,,,96,37116.87851,8,0.344411,0.383954,0.004349,26,0.196193,876,0.275543,,,
H04N5,H04N5,,,101,84764.48064,7,0.361489,0.403621,0.010287,26,0.158384,784,0.349092,Details of television systems (scanning details or combination thereof with generation of supply voltages H04N3/00) ,텔레비전 시스템의 세부 (스캐닝 세부 또는 공급 전압 생성과의 결합 H04N3/00),텔레비전 시스템
A01K39,A01K39,,,4,971.162567,9,0.257121,0.270749,0,26,1,3,0.004951,,,
A01K43,A01K43,,,6,655.68055,8,0.240905,0.250249,0,16,1,10,0.001992,,,
A47J29,A47J29,,,6,655.68055,8,0.240905,0.250249,0,16,1,10,0.001992,,,
B65B23,B65B23,,,6,655.68055,8,0.240905,0.250249,0,16,1,10,0.001992,,,
B65G17,B65G17,,,11,1358.231026,7,0.302171,0.320476,0.001565,16,0.511111,23,0.022486,,,
B65G47,B65G47,,,20,6130.63829,7,0.292828,0.310434,0.00441,19,0.28655,49,0.020225,,,
A01K7,A01K7,,,18,9230.116764,7,0.321285,0.340832,0.002449,15,0.419118,57,0.032232,,,
A01K61,A01K61,,,7,1181.278091,9,0.213606,0.223721,0,5,1,15,0.002237,,,
A01K63,A01K63,,,7,1181.278091,9,0.213606,0.223721,0,5,1,15,0.002237,,,
A01K69,A01K69,,,7,3543.834229,9,0.213606,0.223721,0,5,1,15,0.002237,,,
A01K85,A01K85,,,8,2728.96077,9,0.213625,0.223937,0.000011,5,0.809524,17,0.002451,,,
A01K97,A01K97,,,20,3571.307999,8,0.264024,0.28086,0.002734,5,0.362573,62,0.011045,,,
B01D29,B01D29,,,13,12205.07645,8,0.279376,0.295554,0.0016,15,0.727273,48,0.012993,,,
B01D35,B01D35,,,11,9121.638214,8,0.279309,0.295122,0,15,1,45,0.012572,,,
B65D1,B65D1,,,42,10952.20429,6,0.341208,0.367525,0.008556,30,0.213415,175,0.092023,,,
B65D41,B65D41,,,38,19857.68283,7,0.333863,0.361143,0.002724,30,0.384384,256,0.158625,,,
B67D1,B67D1,,,17,36207.16675,8,0.296662,0.318063,0.000861,15,0.6,72,0.029977,,,
B67D2210,B67D2210,,,17,9955.171875,8,0.296662,0.318063,0.000861,15,0.6,72,0.029977,,,
C02F2103,C02F2103,,,58,18818.15203,7,0.31995,0.348029,0.009114,15,0.2901,463,0.062684,"Nature of the water, waste water, sewage or sludge to be treated","처리될 물, 폐수, 하수 또는 오니(슬러지)의 성질",
C02F2303,C02F2303,,,52,22734.7639,7,0.319729,0.347755,0.004808,15,0.344314,439,0.06007,Specific treatment goals,특정 처리 목적,
F03B7,F03B7,,,4,326.975471,8,0.28855,0.302305,0,15,0.666667,2,0.009855,,,
F25B21,F25B21,,,11,3040.546135,8,0.279309,0.295122,0,15,1,45,0.012572,,,
Y02E10,Y02E10,,,112,42236.14803,7,0.391165,0.432779,0.01562,19,0.189681,1158,0.49822,Energy generation through renewable energy sources,재생 에너지 자원을 통한 에너지 생산,
A01K89,A01K89,,,4,507.472137,9,0.208913,0.216523,0,5,1,3,0.001005,,,
A01K91,A01K91,,,4,408.297272,1,1,1,0,1,1,3,0.000614,,,
B65H69,B65H69,,,4,408.297272,1,1,1,0,1,1,3,0.000614,,,
D03J3,D03J3,,,4,408.297272,1,1,1,0,1,1,3,0.000614,,,
A45F2005,A45F2005,,,13,3252.976273,8,0.268815,0.284473,0.000165,30,0.69697,46,0.008327,,,
A47C1,A47C1,,,24,12394.61672,8,0.278534,0.297555,0.001787,5,0.328063,83,0.014889,,,
A47C9,A47C9,,,9,959.06916,9,0.243519,0.256091,0,30,1,28,0.004365,,,
