search URL:,https://patents.google.com/?q=glass+fiber&country=US&before=priority:20200331&after=priority:20200301&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021294024-A1,Multicore fiber with exterior cladding region ,Corning Incorporated,"Ming-Jun Li, Gaozhu Peng",2020-03-19,2021-03-03,2021-09-23,,https://patents.google.com/patent/US20210294024A1/en,https://patentimages.storage.googleapis.com/fa/4d/56/f04e83eb11a28d/US20210294024A1-20210923-D00000.png
US-2021294025-A1,Multi-core optical fiber ,"Sumitomo Electric Industries, Ltd.","Tetsuya Hayashi, Takuji Nagashima",2020-03-19,2021-03-16,2021-09-23,,https://patents.google.com/patent/US20210294025A1/en,https://patentimages.storage.googleapis.com/f2/b5/a4/3ca248e7ba282b/US20210294025A1-20210923-D00000.png
US-2021277545-A1,Flame retardant yarn ,"Hangzhou Anchuang Textile Co., Ltd.",Pan-Xiang Zheng,2020-03-03,2020-10-01,2021-09-09,,https://patents.google.com/patent/US20210277545A1/en,
US-2020241999-A1,Performance monitoring for short-lived functions ,Intel Corporation,"Francesc Guim Bernat, Steven BRISCOE, Karthik Kumar, Alexander Bachmutsky, Timothy Verrall",2020-03-25,2020-03-25,2020-07-30,,https://patents.google.com/patent/US20200241999A1/en,https://patentimages.storage.googleapis.com/8f/ea/f5/b7305df2088f24/US20200241999A1-20200730-D00000.png
US-2021366464-A1,Method and system of automatic speech recognition with highly efficient decoding ,Intel Corporation,"Piotr Rozen, Joachim Hofer",2020-03-27,2021-08-09,2021-11-25,,https://patents.google.com/patent/US20210366464A1/en,https://patentimages.storage.googleapis.com/ff/4d/c2/8618768b1ad4da/US20210366464A1-20211125-D00000.png
US-11159609-B2,"Method, system and product to implement deterministic on-boarding and scheduling of virtualized workloads for edge computing ",Intel Corporation,"Michael J. McGrath, Daire Healy, Christopher D. Lucero, Marcin Spoczynski",2020-03-27,2020-03-27,2021-10-26,2021-10-26,https://patents.google.com/patent/US11159609B2/en,https://patentimages.storage.googleapis.com/6d/0a/41/6074dc551f6dc8/US11159609-20211026-D00000.png
US-2021295599-A1,3d model reconstruction and scale estimation ,"Streem, Inc.","Sean M. Adkinson, Flora Ponjou Tasse, Pavan K. Kamajaru, Ghislain FOUODJI TASSE, Ryan R. Fink",2020-03-20,2021-03-22,2021-09-23,,https://patents.google.com/patent/US20210295599A1/en,https://patentimages.storage.googleapis.com/a0/3b/5b/29c1b13b55cd1f/US20210295599A1-20210923-D00000.png
US-2021285276-A1,Thermally enhanced extrudate for windows and doors ,Quaker Window Products Co.,"David Sperandio, Curtis Weavers",2020-03-03,2021-05-27,2021-09-16,,https://patents.google.com/patent/US20210285276A1/en,https://patentimages.storage.googleapis.com/b5/23/d4/8dee1797a8ecba/US20210285276A1-20210916-D00000.png
US-10980297-B1,Protective face shield with respirator ,"Augustine Biomedical + Design, LLC","Scott D. Augustine, Randall C. Arnold, Garrett J. Augustine",2020-03-26,2020-07-29,2021-04-20,2021-04-20,https://patents.google.com/patent/US10980297B1/en,https://patentimages.storage.googleapis.com/a4/8b/de/3ea78f4e3b94b7/US10980297-20210420-D00000.png
US-2021284904-A1,Fiber optic measuring device with monolithic phosphor composite ,Accelovant Technologies Corporation,"Noah John Joe Johnson, Ondrej Mecl, Michael William Goldstein",2020-03-13,2020-09-01,2021-09-16,,https://patents.google.com/patent/US20210284904A1/en,https://patentimages.storage.googleapis.com/20/9f/8d/278c52347622f0/US20210284904A1-20210916-D00000.png
US-2021311135-A1,Full-polarization faraday magnetic field sensor based on sagnac interference system and modulation method therefor ,Zhejiang University,"Dengwei ZHANG, Cui LIANG",2020-03-20,2021-06-17,2021-10-07,,https://patents.google.com/patent/US20210311135A1/en,https://patentimages.storage.googleapis.com/c8/39/f4/7c404a6c64ea9c/US20210311135A1-20211007-D00000.png
US-10859779-B1,Pluggable transceiver retainer ,Ii-Vi Delaware Inc.,"William H. Wang, Bill S. Wang",2020-03-04,2020-03-04,2020-12-08,2020-12-08,https://patents.google.com/patent/US10859779B1/en,https://patentimages.storage.googleapis.com/00/a6/d6/41ded517d67bfa/US10859779-20201208-D00000.png
US-11150077-B2,Heterodyne laser interferometer based on integrated secondary beam splitting component ,Harbin Institute Of Technology,"Pengcheng Hu, Xiaobo Su, Haijin FU",2020-03-02,2020-08-26,2021-10-19,2021-10-19,https://patents.google.com/patent/US11150077B2/en,https://patentimages.storage.googleapis.com/fd/e9/77/4462038e59c9c6/US11150077-20211019-D00000.png
US-2021279934-A1,Method and apparatus for generating virtual avatar ,"Beijing Baidu Netcom Science And Technology Co., Ltd.","Xiang Long, Xin Li, Henan ZHANG, Hao Sun",2020-03-09,2021-02-23,2021-09-09,,https://patents.google.com/patent/US20210279934A1/en,https://patentimages.storage.googleapis.com/15/98/0e/3b48e22617834c/US20210279934A1-20210909-D00000.png
