search URL:,https://patents.google.com/?q=glass+fiber&country=US&before=priority:20180930&after=priority:20180901&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021340053-A1,Bushing for producing glass fibers ,Tanaka Kikinzoku Kogyo K.K.,"Tomoyuki Tada, Toshihiro Osawa, Naoya NAGAO, Atsushi NAKAOKA",2018-09-07,2019-09-06,2021-11-04,,https://patents.google.com/patent/US20210340053A1/en,https://patentimages.storage.googleapis.com/42/2d/f9/3c7a682f4a94ab/US20210340053A1-20211104-D00000.png
US-2021355287-A1,Glass fiber filled flame retardant propylene composition ,Sabic Global Technologies B.V.,Liang Wen,2018-09-25,2019-09-24,2021-11-18,,https://patents.google.com/patent/US20210355287A1/en,
US-2020096697-A1,Small core-diameter graded-index optical fiber ,Yangtze Optical Fibre And Cable Joint Stock Limited Company,"Wufeng XIAO, Runhan Wang, Rong Huang, Haiying Wang, Anlin Zhang, Di Yang, TieJun Wang",2018-09-25,2019-08-16,2020-03-26,,https://patents.google.com/patent/US20200096697A1/en,https://patentimages.storage.googleapis.com/47/e9/85/a58056a06c1a3c/US20200096697A1-20200326-D00000.png
US-2020088957-A1,Hermetic Optical Fiber Stub with Connector Interface ,"Optical Fiber Packaging, Ltd.",Richard C. E. Durrant,2018-09-17,2019-09-17,2020-03-19,,https://patents.google.com/patent/US20200088957A1/en,https://patentimages.storage.googleapis.com/5e/b7/1a/342ba579f526c1/US20200088957A1-20200319-D00000.png
US-10817016-B2,Hybrid coverlay/window structure for flexible display applications ,Apple Inc.,"Hoon Sik Kim, Chang-Chia HUANG, Christopher D. Jones, Masato Kuwabara, Nikhil D. Kalyankar, Terry C. Shyu, Yasmin F. Afsar, Paul S. Drzaic",2018-09-24,2019-07-31,2020-10-27,2020-10-27,https://patents.google.com/patent/US10817016B2/en,https://patentimages.storage.googleapis.com/99/3c/63/17e95a1b93c382/US10817016-20201027-D00000.png
US-10816326-B2,Polarization maintaining fiber array with increased polarization extinction ratio and method of making ,"Alliance Fiber Optic Products, Inc.","Chia-Hang Chang, Ximao Feng, Wen-Lung Kuang, Andy Fenglei Zhou",2018-09-21,2019-09-04,2020-10-27,2020-10-27,https://patents.google.com/patent/US10816326B2/en,https://patentimages.storage.googleapis.com/00/f0/d0/37b42f5afde665/US10816326-20201027-D00000.png
US-2020106147-A1,Channel waveguides with bend compensation for low-loss optical transmission ,Corning Research & Development Corporation,"Lars Martin Otfried Brusberg, Sergey Anatol'evich Kuchinsky, Rostislav Vatchev Roussev, Aramais Robert Zakharian",2018-09-28,2018-09-28,2020-04-02,,https://patents.google.com/patent/US20200106147A1/en,https://patentimages.storage.googleapis.com/cf/b1/19/669ade6134dcf8/US20200106147A1-20200402-D00000.png
US-2021231896-A1,Small diameter fiber optic cables having low-friction cable jackets and optical fibers with reduced cladding and coating diameters ,Corning Research & Development Corporation,"Scott Robertson Bickham, William Carl Hurley, Ulrich Wilhelm Heinz Neukirch, Radawan Ripumaree",2018-09-28,2021-03-24,2021-07-29,,https://patents.google.com/patent/US20210231896A1/en,https://patentimages.storage.googleapis.com/a3/d5/d8/35589f2a7245a9/US20210231896A1-20210729-D00000.png
US-2021096304-A1,Optical fiber stub having a demountable receptacle cap with an alignment sleeve ,"Optical Fiber Packaging, Ltd.",Richard C. E. Durrant,2018-09-17,2020-12-14,2021-04-01,,https://patents.google.com/patent/US20210096304A1/en,https://patentimages.storage.googleapis.com/d1/e5/d7/819863f5b67a7a/US20210096304A1-20210401-D00000.png
US-2020088935-A1,WIDEBAND MULTIMODE CO-DOPED OPTICAL FIBER EMPLOYING GeO2 AND Al2O3 DOPANTS ,Corning Incorporated,"Dana Craig Bookbinder, Ming-Jun Li, Pushkar Tandon",2018-09-13,2019-09-05,2020-03-19,,https://patents.google.com/patent/US20200088935A1/en,https://patentimages.storage.googleapis.com/17/d6/f6/2073e7b949c0fe/US20200088935A1-20200319-D00000.png
US-2021000592-A1,Side-Delivered Transcatheter Heart Valve Replacement ,"Vdyne, Inc.","Mark Christianson, Robert Vidlund, Neelakantan Saikrishnan",2018-09-20,2019-06-17,2021-01-07,,https://patents.google.com/patent/US20210000592A1/en,https://patentimages.storage.googleapis.com/85/b0/40/cc2133dc66a329/US20210000592A1-20210107-D00000.png
US-2020088958-A1,Transmitter Devices Having Bridge Structures ,Waymo Llc,"Pierre-Yves Droz, David Schleuning, Augusto Tazzoli",2018-09-17,2019-10-30,2020-03-19,,https://patents.google.com/patent/US20200088958A1/en,https://patentimages.storage.googleapis.com/6d/ef/a1/f2d8aca7390a52/US20200088958A1-20200319-D00000.png
US-2020100855-A1,Robotic systems and methods for concomitant endoscopic and percutaneous medical procedures ,"Auris Health, Inc.","Richard August Leparmentier, Eric Davidson, Enrique Romo",2018-09-28,2019-09-27,2020-04-02,,https://patents.google.com/patent/US20200100855A1/en,https://patentimages.storage.googleapis.com/34/c8/d6/6dfc588c190715/US20200100855A1-20200402-D00000.png
US-2020076088-A1,Surface wave launcher and methods for use therewith ,"At&T Intellectual Property I, L.P.","Robert Bennett, Robert S. Roman, Peter Wolniansky, Paul Shala Henry, Farhad Barzegar, Giovanni Vannucci, Irwin Gerszberg",2018-09-05,2018-09-05,2020-03-05,,https://patents.google.com/patent/US20200076088A1/en,https://patentimages.storage.googleapis.com/b3/a3/c8/1e575c303d9e5b/US20200076088A1-20200305-D00000.png
US-2019044949-A1,Trust management mechanisms ,Intel Corporation,"Katalin Bartfai-Walcott, John Walcott, Hassnaa Moustafa",2018-09-28,2018-09-28,2019-02-07,,https://patents.google.com/patent/US20190044949A1/en,https://patentimages.storage.googleapis.com/4d/e3/66/d61f26909700d2/US20190044949A1-20190207-D00000.png
US-2020085516-A1,Systems and methods for concomitant medical procedures ,"Auris Health, Inc.","Joshua F. DeFonzo, Alexander Tarek Hassan, Frederic H. Moll, David Stephen Mintz, David M. Schummers, Paxton H. Maeder-York, Andrew F. O'Rourke",2018-09-17,2019-09-03,2020-03-19,,https://patents.google.com/patent/US20200085516A1/en,https://patentimages.storage.googleapis.com/95/19/fe/4230e09e477b7c/US20200085516A1-20200319-D00000.png
US-10765487-B2,Systems and methods for docking medical instruments ,"Auris Health, Inc.","Mingyen Ho, Chauncey F. Graetzel, Adrian Hairrell",2018-09-28,2019-09-27,2020-09-08,2020-09-08,https://patents.google.com/patent/US10765487B2/en,https://patentimages.storage.googleapis.com/21/c5/40/6f9472a714d408/US10765487-20200908-D00000.png
US-10820947-B2,"Devices, systems, and methods for manually and robotically driving medical instruments ","Auris Health, Inc.",Christopher Allen Julian,2018-09-28,2019-09-26,2020-11-03,2020-11-03,https://patents.google.com/patent/US10820947B2/en,https://patentimages.storage.googleapis.com/f1/f6/99/ab898dedce00c6/US10820947-20201103-D00000.png
US-2020093549-A1,Systems and instruments for suction and irrigation ,"Auris Health, Inc.","Erica Ding Chin, Spencer James Witte, Barry Nichols Gardiner",2018-09-26,2019-08-20,2020-03-26,,https://patents.google.com/patent/US20200093549A1/en,https://patentimages.storage.googleapis.com/66/7d/5e/beb04db87bd167/US20200093549A1-20200326-D00000.png
US-2020093554-A1,Articulating medical instruments ,"Auris Health, Inc.","Travis Michael Schuh, Nicholas J. Eyre, Alex J. Niswander",2018-09-26,2019-09-24,2020-03-26,,https://patents.google.com/patent/US20200093554A1/en,https://patentimages.storage.googleapis.com/e5/38/20/6cd348fe1cd51c/US20200093554A1-20200326-D00000.png
US-2020082207-A1,Object detection method and apparatus for object detection ,"Baidu Online Network Technology (Beijing) Co., Ltd.","Yuanfan XIE, Zishu YANG, Liang Wang",2018-09-07,2019-09-05,2020-03-12,,https://patents.google.com/patent/US20200082207A1/en,https://patentimages.storage.googleapis.com/a6/36/7f/0a28144fdb4c08/US20200082207A1-20200312-D00000.png
US-2021303137-A1,Computer-assisted or autonomous driving vehicles social network ,Intel Corporation,"Fatema Adenwala, Ankitha Chandran, Nageen Himayat, Florence Pon, Divya Vijayaraghavan",2018-09-25,2021-05-10,2021-09-30,,https://patents.google.com/patent/US20210303137A1/en,https://patentimages.storage.googleapis.com/aa/c4/59/e986836c6cfd18/US20210303137A1-20210930-D00000.png
