search URL:,https://patents.google.com/?q=electronic+battery&country=US&before=priority:20210930&after=priority:20210701&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021376330-A1,Reaction barrier between electrode active material and current collector ,Enevate Corporation,"Benjamin Yong Park, Rahul R. Kamath, Fred Bonhomme",,2021-08-11,2021-12-02,,https://patents.google.com/patent/US20210376330A1/en,https://patentimages.storage.googleapis.com/3f/1f/c4/3c991c34300781/US20210376330A1-20211202-D00001.png
US-2021376393-A1,"Battery group, battery, and battery pack ",Kabushiki Kaisha Toshiba,"Asuna HAGIWARA, Masanori Tanaka",,2021-08-12,2021-12-02,,https://patents.google.com/patent/US20210376393A1/en,https://patentimages.storage.googleapis.com/70/01/d8/333b0c22029999/US20210376393A1-20211202-D00000.png
US-2021376383-A1,Electrolytes for stable cycling of high capacity lithium based batteries ,"Zenlabs Energy, Inc.","Swapnil J. Dalavi, Shabab Amiruddin, Bing Li",,2021-08-12,2021-12-02,,https://patents.google.com/patent/US20210376383A1/en,https://patentimages.storage.googleapis.com/8b/22/d6/1b821929b407dd/US20210376383A1-20211202-D00000.png
US-2021376629-A1,Large-Format Battery Managment System ,"Inventus Power, Inc.","Huizhi Chen, Youwu Chen, Jianfei Liu, William Tenorio, Jujie Xia",,2021-08-06,2021-12-02,,https://patents.google.com/patent/US20210376629A1/en,https://patentimages.storage.googleapis.com/ee/07/42/a9726a35889850/US20210376629A1-20211202-D00000.png
US-2021376644-A1,"Battery Charging Method, Device, and Readable Storage Medium ","Guangdong Oppo Mobile Telecommunications Corp., Ltd.",Xin Yang,,2021-08-06,2021-12-02,,https://patents.google.com/patent/US20210376644A1/en,https://patentimages.storage.googleapis.com/7f/ed/df/14c4d0a8be393e/US20210376644A1-20211202-D00000.png
US-2021377746-A1,"Apparatus and Method for Providing Enhanced Wireless Coverage, Improved Service Performance, and Reduced Battery Power Consumption ","Huawei Technologies Co., Ltd.","Keyvan Zarifi, Mohammadhadi Baligh, Jianglei Ma, Peiying Zhu, Amine Maaref",,2021-08-16,2021-12-02,,https://patents.google.com/patent/US20210377746A1/en,https://patentimages.storage.googleapis.com/32/b1/8e/ec24199b7e0455/US20210377746A1-20211202-D00000.png
US-2021376636-A1,"Electronic device-to-charger set, and communication system ",Fujitsu Limited,"Ippei Takami, Yudai Senzaki, Tatsuya Honda, Tomohiro Suzuki, Yutaro Emoto",,2021-08-05,2021-12-02,,https://patents.google.com/patent/US20210376636A1/en,https://patentimages.storage.googleapis.com/19/07/84/0a8a7ef09a222c/US20210376636A1-20211202-D00000.png
US-2021378117-A1,Textured glass component for an electronic device enclosure ,Apple Inc.,"Jason P. Shannon, Andi M. Limarga",,2021-08-16,2021-12-02,,https://patents.google.com/patent/US20210378117A1/en,https://patentimages.storage.googleapis.com/4d/dd/9c/b52ab927e45275/US20210378117A1-20211202-D00000.png
US-2021376542-A1,Electronic vaping device and connector assembly ,Altria Client Services Llc,"Bipin Patil, Sean Sundberg, Kelli MCKENNA, Rangaraj Sundar, Greg Nelson, David Bennett",,2021-08-16,2021-12-02,,https://patents.google.com/patent/US20210376542A1/en,https://patentimages.storage.googleapis.com/23/4c/88/5aabcf0f452839/US20210376542A1-20211202-D00000.png
US-2021373500-A1,Electronic watch clasp systems and methods ,Wearatec Llc,Dilshan Thilina Modaragamage,,2021-08-06,2021-12-02,,https://patents.google.com/patent/US20210373500A1/en,https://patentimages.storage.googleapis.com/ff/88/14/826039e72dc02d/US20210373500A1-20211202-D00000.png
