search URL:,https://patents.google.com/?q=polyamide&country=US&before=priority:20190930&after=priority:20190901&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021070937-A1,Polyamides with pendent optical absorbers and related methods ,Xerox Corporation,"Mihaela Maria Birau, Valerie M. Farrugia",2019-09-09,2020-06-30,2021-03-11,,https://patents.google.com/patent/US20210070937A1/en,https://patentimages.storage.googleapis.com/77/54/f5/54ec15049df92f/US20210070937A1-20210311-D00000.png
US-2021070936-A1,Polyamide Particles and Methods of Production and Uses Thereof ,Xerox Corporation,"Valerie M. Farrugia, Yulin Wang, Chu Yin Huang, Carolyn Patricia Moorlag",2019-09-09,2020-06-30,2021-03-11,,https://patents.google.com/patent/US20210070936A1/en,https://patentimages.storage.googleapis.com/c5/c7/d9/93c34130076bcd/US20210070936A1-20210311-D00000.png
US-2021087319-A1,"Polyimide film, block copolymer of polyamide acid, and method for manufacturing the block copolymer of polyamide acid ","Zhen Ding Technology Co., Ltd.","Kuan-Wei LEE, Szu-Hsiang SU, Shou-Jui Hsiang, Pei-Jung Wu, Wei-Hsin Huang",2019-09-19,2020-07-22,2021-03-25,,https://patents.google.com/patent/US20210087319A1/en,https://patentimages.storage.googleapis.com/a1/24/20/87ece54eedd8ec/US20210087319A1-20210325-D00000.png
US-2021070991-A1,Particles comprising polyamides with pendent optical absorbers and related methods ,Xerox Corporation,"Mihaela Maria Birau, Valerie M. Farrugia",2019-09-09,2020-06-30,2021-03-11,,https://patents.google.com/patent/US20210070991A1/en,https://patentimages.storage.googleapis.com/7f/51/d0/da75a4e3fcb347/US20210070991A1-20210311-D00000.png
US-2021070934-A1,Polyamides with in-backbone optical absorbers and related methods ,Xerox Corporation,"Valerie M. Farrugia, Mihaela Maria Birau",2019-09-09,2020-06-30,2021-03-11,,https://patents.google.com/patent/US20210070934A1/en,https://patentimages.storage.googleapis.com/79/ab/14/c58c0afd496182/US20210070934A1-20210311-D00000.png
US-2021070992-A1,Particles comprising polyamides with pendent pigments and related methods ,Xerox Corporation,"Karen A. Moffat, Valerie M. Farrugia",2019-09-09,2020-06-30,2021-03-11,,https://patents.google.com/patent/US20210070992A1/en,https://patentimages.storage.googleapis.com/ae/15/13/7c654a93843390/US20210070992A1-20210311-D00000.png
US-2021070938-A1,Polyamides with pendent pigments and related methods ,Xerox Corporation,"Valerie M. Farrugia, Karen A. Moffat",2019-09-09,2020-06-30,2021-03-11,,https://patents.google.com/patent/US20210070938A1/en,https://patentimages.storage.googleapis.com/a2/af/b9/50c9d5004fc789/US20210070938A1-20210311-D00000.png
US-2021070990-A1,Particles comprising polyamides with in-backbone optical absorbers and related methods ,Xerox Corporation,"Valerie M. Farrugia, Mihaela Maria Birau",2019-09-09,2020-06-30,2021-03-11,,https://patents.google.com/patent/US20210070990A1/en,https://patentimages.storage.googleapis.com/33/a9/0c/f16da61f838ea9/US20210070990A1-20210311-D00000.png
US-2021070995-A1,Crystalline polyamide resin composition for ic tray ,"Korea Engineering Plastics Co., Ltd.","Bong Joo PARK, Soon Young Cha, Si Jun PARK",2019-09-06,2020-09-03,2021-03-11,,https://patents.google.com/patent/US20210070995A1/en,https://patentimages.storage.googleapis.com/55/64/f6/030d4a4dd99201/US20210070995A1-20210311-D00001.png
US-11096036-B2,Multi-access Edge Computing service for mobile User Equipment method and apparatus ,Intel Corporation,"Rajesh Poornachandran, Karthik Veeramani, Rajneesh Chowdhury, Ned M. Smith",2019-09-12,2019-09-12,2021-08-17,2021-08-17,https://patents.google.com/patent/US11096036B2/en,https://patentimages.storage.googleapis.com/4d/e3/2f/2d0fc6a435d675/US11096036-20210817-D00000.png
US-2021071323-A1,Cut resistant ply- twisted yarns and fabrics made thereof ,"Dupont Safety & Construction, Inc.",Yingxiang Hu,2019-09-06,2020-09-01,2021-03-11,,https://patents.google.com/patent/US20210071323A1/en,https://patentimages.storage.googleapis.com/19/f6/0c/513be177cacfd6/US20210071323A1-20210311-D00000.png
US-2021071024-A1,Ink set and ink jet method ,Seiko Epson Corporation,"Kyohei Tanaka, Keitaro Nakano, Midori SEKINE, Yuko HISHIDA",2019-09-05,2020-09-04,2021-03-11,,https://patents.google.com/patent/US20210071024A1/en,https://patentimages.storage.googleapis.com/c7/27/e3/61113af9142491/US20210071024A1-20210311-D00000.png
US-2021112425-A1,Cellular system ,Bao Tran,"Bao Tran, Ha Tran",2019-09-02,2020-09-16,2021-04-15,,https://patents.google.com/patent/US20210112425A1/en,https://patentimages.storage.googleapis.com/43/02/69/69a458c4d61dc3/US20210112425A1-20210415-D00000.png
US-2021071326-A1,Reversible Textile Transformation ,"Massachusetts Institute Of Technology, Ministry Of Supply Inc.","Skylar J.E. Tibbits, Jared Smith Laucks, Schendy G. Kernizan, Lavender Rose Tessmer, Carmel Marie Dunlap, Gihan S. Amarasiriwardena",2019-09-09,2020-09-09,2021-03-11,,https://patents.google.com/patent/US20210071326A1/en,https://patentimages.storage.googleapis.com/f6/20/29/53bf2929850ad6/US20210071326A1-20210311-D00000.png
US-2021090599-A1,Magnetic recording medium and magnetic recording and reproducing device ,Fujifilm Corporation,"Megumi Nakano, Eiki OZAWA, Norihito KASADA",2019-09-19,2020-09-16,2021-03-25,,https://patents.google.com/patent/US20210090599A1/en,https://patentimages.storage.googleapis.com/79/b6/3b/dab563e3e20756/US20210090599A1-20210325-D00000.png
US-2021093170-A1,"Light guide for diagnostic, surgical, and/or therapeutic device ",Schott Ag,"Bernd Schultheis, Martin Cramer, Hubertus Russert, Holger Werner, Lukas Walter, Hildegard Voigt, Markus Kappel, Erwin Steiger",2019-09-26,2020-09-25,2021-04-01,,https://patents.google.com/patent/US20210093170A1/en,https://patentimages.storage.googleapis.com/d4/47/47/4b14c21aa672a5/US20210093170A1-20210401-D00000.png
US-2021068473-A1,Athletic bra ,Adidas Ag,"Clair WALLACE, Emily JAGOS",2019-09-05,2019-09-05,2021-03-11,,https://patents.google.com/patent/US20210068473A1/en,https://patentimages.storage.googleapis.com/cd/57/27/2034085b5f0b7d/US20210068473A1-20210311-D00000.png
US-2021062426-A1,Process for producing biomass fiber molding material ,"Guangdong Yelun Biotechnology Development Co., Ltd.","Jiawang LI, Weisheng Li, Xue'an MAI",2019-09-03,2020-07-01,2021-03-04,,https://patents.google.com/patent/US20210062426A1/en,https://patentimages.storage.googleapis.com/85/d7/34/78395cd8a30c2e/US20210062426A1-20210304-D00000.png
US-2021075019-A1,"Binder aqueous solution for lithium-ion battery electrode, slurry for lithium-ion battery electrode, lithium-ion battery electrode, and lithium-ion battery ","Arakawa Chemical Industries, Ltd.","Katsuya OKUBO, Hideki Goda, Naoki Sasagawa, Satoru Aoyama",2019-09-05,2020-09-02,2021-03-11,,https://patents.google.com/patent/US20210075019A1/en,
US-2021082631-A1,Solid Electrolytic Capacitor for Use at High Voltages ,Avx Corporation,"Romana Sulakova, Miloslav Uher, Jan Petrzilek",2019-09-18,2020-09-18,2021-03-18,,https://patents.google.com/patent/US20210082631A1/en,https://patentimages.storage.googleapis.com/4f/a3/8c/c61c4a6210bd64/US20210082631A1-20210318-D00000.png
US-2021120984-A1,Absorbent pillowcase ,Sonya PEGUES,Sonya PEGUES,2019-09-13,2020-11-06,2021-04-29,,https://patents.google.com/patent/US20210120984A1/en,https://patentimages.storage.googleapis.com/2b/b3/1a/76d316e70c3f1c/US20210120984A1-20210429-D00000.png
US-2021086232-A1,Tension screened assembly ,Derrick Corporation,James R. Colgrove,2019-09-19,2020-09-18,2021-03-25,,https://patents.google.com/patent/US20210086232A1/en,https://patentimages.storage.googleapis.com/a8/d8/b9/dbccaf237ff395/US20210086232A1-20210325-D00000.png
US-10638726-B1,"System, apparatus, and method for monitoring an animal status ","Averia Electronics, Inc.","Yury Makarychev, Stanislav Terekhov",2019-09-09,2019-09-09,2020-05-05,2020-05-05,https://patents.google.com/patent/US10638726B1/en,https://patentimages.storage.googleapis.com/4f/2a/16/297102c73d5b51/US10638726-20200505-D00000.png
US-2021078791-A1,Apparatus and Method of Making an Aerosol Dispenser ,The Procter & Gamble Company,"Robert Paul Cassoni, Matthew Aaron Neumann",2019-09-13,2020-08-31,2021-03-18,,https://patents.google.com/patent/US20210078791A1/en,https://patentimages.storage.googleapis.com/9d/27/64/7a986802b49276/US20210078791A1-20210318-D00000.png
US-10663148-B1,Modular channel for linear lighting ,"Elemental LED, Inc.",Irving Heredia,2019-09-16,2019-09-16,2020-05-26,2020-05-26,https://patents.google.com/patent/US10663148B1/en,https://patentimages.storage.googleapis.com/89/bf/d1/976e0d7e98215f/US10663148-20200526-D00000.png
US-2021072865-A1,"Touch substrate, display panel and display device ","Chengdu Boe Optoelectronics Technology Co., Ltd., Boe Technology Group Co., Ltd.","Fan He, Kemeng TONG, Xiangdan Dong, Zhengwei LUO",2019-09-10,2020-09-09,2021-03-11,,https://patents.google.com/patent/US20210072865A1/en,https://patentimages.storage.googleapis.com/7b/eb/9d/59af5a3e3a865e/US20210072865A1-20210311-D00000.png
US-2021166452-A1,Methods and systems for determining and displaying pedigrees ,"23Andme, Inc.","Ethan M. Jewett, Andrew C. Seaman, Kimberly F. McManus, William Allen Freyman, Cordell T. Blakkan, Adam Auton, Joanna L. Mountain, Susan M. Furest, Rachel E. Lopatin, Hang Xu, Hilary M. Vance",2019-09-13,2021-02-03,2021-06-03,,https://patents.google.com/patent/US20210166452A1/en,https://patentimages.storage.googleapis.com/5d/f8/c8/08aa741fa6c228/US20210166452A1-20210603-D00000.png
