search URL:,https://patents.google.com/?q=polyamide&country=US&before=priority:20180430&after=priority:20180401&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021359035-A1,"Display panel, display apparatus, and manufacturing method thereof ","Boe Technology Group Co., Ltd.","Youwei Wang, Song Zhang, Peng Cai, Chunyan XIE, Huan Liu",2018-04-17,2018-10-19,2021-11-18,,https://patents.google.com/patent/US20210359035A1/en,https://patentimages.storage.googleapis.com/61/d2/51/8e7bad616f0872/US20210359035A1-20211118-D00000.png
US-10782613-B2,Polymerizable self-assembled monolayers for use in atomic layer deposition ,International Business Machines Corporation,"Rudy J. Wojtecki, Noah F. Fine Nathel, Ekmini A. De Silva",2018-04-19,2018-04-19,2020-09-22,2020-09-22,https://patents.google.com/patent/US10782613B2/en,https://patentimages.storage.googleapis.com/e2/d2/0c/8d2a9de9dab6a4/US10782613-20200922-D00000.png
US-2019314155-A1,Mitral valve spacer device ,Edwards Lifesciences Corporation,"Michael D. Franklin, Matthew T. Winston, Lauren R. Freschauf, Eric Robert Dixon, Yoon Hee Kwon",2018-04-12,2019-03-12,2019-10-17,,https://patents.google.com/patent/US20190314155A1/en,https://patentimages.storage.googleapis.com/6b/8f/b1/f4f136ec6d8662/US20190314155A1-20191017-D00000.png
US-2019304910-A1,Embedded electronics package with multi-thickness interconnect structure and method of making same ,General Electric Company,Raymond Albert Fillion,2018-04-03,2018-04-03,2019-10-03,,https://patents.google.com/patent/US20190304910A1/en,https://patentimages.storage.googleapis.com/48/c5/1b/18f98c9e52b614/US20190304910A1-20191003-D00000.png
US-10998522-B2,"Flexible OLED display panel, manufacturing method for the same and display device ","Wuhan China Star Optoelectronics Semiconductor Display Technology Co., Ltd.","Jie Xu, Tao Sun",2018-04-28,2018-07-19,2021-05-04,2021-05-04,https://patents.google.com/patent/US10998522B2/en,https://patentimages.storage.googleapis.com/97/84/5e/b0419038fca274/US10998522-20210504-D00000.png
US-10927650-B2,Perforating systems and flow control for use with well completions ,"Thru Tubing Solutions, Inc.","Roger L. Schultz, Randy C Tolman, Andrew M. Ferguson",2018-04-11,2019-04-04,2021-02-23,2021-02-23,https://patents.google.com/patent/US10927650B2/en,https://patentimages.storage.googleapis.com/0a/e9/f2/eb5e8a7c7dcad6/US10927650-20210223-D00000.png
US-2019333972-A1,"Display panel, fabricating method and display device ","Shanghai Tianma Micro-electronics Co., Ltd.","Hong Ding, Lingxiao Du, Liang Xie, Qijun Yao",2018-04-26,2018-10-24,2019-10-31,,https://patents.google.com/patent/US20190333972A1/en,https://patentimages.storage.googleapis.com/51/a0/a5/69017caa07dafb/US20190333972A1-20191031-D00000.png
US-10263407-B1,Electric vehicle inverter module laminated bus bar ,"Chongqing Jinkang New Energy Vehicle Co., Ltd., Sf Motors, Inc.","Yunan Song, Kangwei Mao, Jinzhu Li, Colin Haag, Nathan Chung, Zhong Nie, Duanyang Wang, Yifan Tang",2018-04-26,2018-12-27,2019-04-16,2019-04-16,https://patents.google.com/patent/US10263407B1/en,https://patentimages.storage.googleapis.com/b0/46/11/e72b32eca4a4dd/US10263407-20190416-D00000.png
US-2019323533-A1,Set of panels with a mechanical locking device ,Välinge Innovation AB,Christian Boo,2018-04-18,2019-04-17,2019-10-24,,https://patents.google.com/patent/US20190323533A1/en,https://patentimages.storage.googleapis.com/44/76/ca/0c525ff2e6ed81/US20190323533A1-20191024-D00000.png
US-2019320012-A1,Systems and method for automated package-data asset generation ,Pearson Management Services Limited,"James Walsh, Suhail Khaki",2018-04-12,2018-06-27,2019-10-17,,https://patents.google.com/patent/US20190320012A1/en,https://patentimages.storage.googleapis.com/0b/85/6b/7c5d1e2652fec4/US20190320012A1-20191017-D00000.png
