search URL:,https://patents.google.com/?q=polyamide&country=US&before=priority:20190531&after=priority:20190501&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11025299-B2,Methods and apparatus for launching and receiving electromagnetic waves ,"At&T Intellectual Property I, L.P.","Peter Wolniansky, Farhad Barzegar",2019-05-15,2019-05-15,2021-06-01,2021-06-01,https://patents.google.com/patent/US11025299B2/en,https://patentimages.storage.googleapis.com/77/dc/f5/795bef4c9e395c/US11025299-20210601-D00000.png
US-2020358187-A1,Computing system ,Bao Tran,"Bao Tran, Ha Tran",2019-05-07,2020-03-26,2020-11-12,,https://patents.google.com/patent/US20200358187A1/en,https://patentimages.storage.googleapis.com/b4/77/5f/5533590ac4a00e/US20200358187A1-20201112-D00000.png
US-11031445-B2,Array substrate and display device with backside camera ,"Wuhan China Star Optoelectronics Semiconductor Display Technology Co., Ltd.","Min Zheng, Yang Zhou, Qi Ouyang, Hong Gao",2019-05-23,2019-09-25,2021-06-08,2021-06-08,https://patents.google.com/patent/US11031445B2/en,https://patentimages.storage.googleapis.com/77/3f/68/21a949b1494da0/US11031445-20210608-D00000.png
US-2021151075-A1,Magnetic recording medium ,Sony Corporation,"Minoru Yamaga, Noboru Sekiguchi",2019-05-08,2021-01-22,2021-05-20,,https://patents.google.com/patent/US20210151075A1/en,https://patentimages.storage.googleapis.com/75/ed/9c/0a664469257db1/US20210151075A1-20210520-D00000.png
US-2021292706-A1,"Composite material, and methods for production thereof ","Bolt Threads, Inc.","Matthew Jordan Smith, Julian Goldman, Maxime Boulet-Audet, Steven Joseph Tom, Hua Li, Tyler John Hurlburt",2019-05-23,2021-04-09,2021-09-23,,https://patents.google.com/patent/US20210292706A1/en,https://patentimages.storage.googleapis.com/22/a6/97/2faf107f2e0f9f/US20210292706A1-20210923-D00000.png
US-10665259-B1,Magnetic recording medium and cartridge ,Sony Corporation,"Minoru Yamaga, Noboru Sekiguchi",2019-05-08,2019-06-27,2020-05-26,2020-05-26,https://patents.google.com/patent/US10665259B1/en,https://patentimages.storage.googleapis.com/84/db/dd/1b396759f3e47b/US10665259-20200526-D00000.png
US-2020361327-A1,Motor vehicle charging cable ,Dr. Ing. H.C. F. Porsche Aktiengesellschaft,"Raoul Heyne, Jari Roenfanz, David KOEHLER",2019-05-16,2020-05-18,2020-11-19,,https://patents.google.com/patent/US20200361327A1/en,https://patentimages.storage.googleapis.com/f6/44/47/c7f618e2d227e1/US20200361327A1-20201119-D00000.png
US-2021213411-A1,Anisotropic lamellar inorganic fiber aerogel materials and preparation method thereof ,Tsinghua University,"Hui Wu, Chao Jia",2019-05-07,2020-04-21,2021-07-15,,https://patents.google.com/patent/US20210213411A1/en,https://patentimages.storage.googleapis.com/1f/6a/ff/ff8738485a660d/US20210213411A1-20210715-D00000.png
US-2020373546-A1,Electrode sheet and battery cell ,Ningde Amperex Technology Limited,"Xiang Li, Huixin Wang, Qiaoshu HU, Yibo Zhang",2019-05-21,2019-12-18,2020-11-26,,https://patents.google.com/patent/US20200373546A1/en,https://patentimages.storage.googleapis.com/6c/17/18/9b339f24cb1802/US20200373546A1-20201126-D00000.png
US-2020381492-A1,Fingerprint sensor and display device including the same ,"Samsung Display Co., Ltd.","Ji Hun RYU, Jin Oh KWAG",2019-05-28,2020-05-15,2020-12-03,,https://patents.google.com/patent/US20200381492A1/en,https://patentimages.storage.googleapis.com/5a/85/36/e80d8c39c29dfe/US20200381492A1-20201203-D00000.png
