search URL:,https://patents.google.com/?q=polyethyleneterephthalate&country=US&before=priority:20200930&after=priority:20200901&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-D915687-S,Pet double bowl ,Funa Fan,Funa Fan,2020-09-11,2020-09-11,2021-04-06,2021-04-06,https://patents.google.com/patent/USD915687S1/en,https://patentimages.storage.googleapis.com/2c/32/a0/82bad2aefeb47e/USD0915687-20210406-D00000.png
US-D909689-S,Pet nail grinder ,"Wuhan canyiXunJie trading co., ltd",Wanqing Xu,2020-09-18,2020-09-18,2021-02-02,2021-02-02,https://patents.google.com/patent/USD909689S1/en,https://patentimages.storage.googleapis.com/9a/42/33/a8a4fd15e6f2df/USD0909689-20210202-D00000.png
US-11098287-B2,17β-hydroxysteroid dehydrogenase mutants and application thereof ,Jiangnan University,"Zhiming Rao, Minglong Shao, Yetong Wang, Yuling Wu, Taowei Yang, Xian Zhang, Meijuan XU",2020-09-10,2020-11-11,2021-08-24,2021-08-24,https://patents.google.com/patent/US11098287B2/en,https://patentimages.storage.googleapis.com/55/7d/1e/775a329595ef75/US11098287-20210824-D00000.png
US-10894104-B1,LED lighting device for sterilizing surface or space ,"PSYCURE Co., Ltd.","Hyun-Jeong Kim, Sang-Ho Jung",2020-09-11,2020-09-25,2021-01-19,2021-01-19,https://patents.google.com/patent/US10894104B1/en,https://patentimages.storage.googleapis.com/6e/ba/9c/ef724ee3e89c4f/US10894104-20210119-D00000.png
US-D937537-S,Ring pet treat ,"Spectrum Brands, Inc.","Gregory van Eyk, Tiffany Potter, Kelli Strazar",,2020-09-01,2021-12-07,2021-12-07,https://patents.google.com/patent/USD937537S1/en,https://patentimages.storage.googleapis.com/ba/c7/59/e624d953475a83/USD0937537-20211207-D00000.png
US-D915688-S,Pet double bowl ,Funa Fan,Funa Fan,2020-09-18,2020-09-18,2021-04-06,2021-04-06,https://patents.google.com/patent/USD915688S1/en,https://patentimages.storage.googleapis.com/00/fd/4a/5d115daaf4094f/USD0915688-20210406-D00000.png
US-D914998-S,Pet floating bowl ,Funa Fan,Funa Fan,2020-09-11,2020-09-11,2021-03-30,2021-03-30,https://patents.google.com/patent/USD914998S1/en,https://patentimages.storage.googleapis.com/ff/14/e5/c65dd1ccc13644/USD0914998-20210330-D00000.png
US-D927799-S,Pet toy ball ,Shenzhen Thankshome Technology Co. LTD,"Chaoqun Zhou, Yiyi Jiang",2020-09-15,2020-09-15,2021-08-10,2021-08-10,https://patents.google.com/patent/USD927799S1/en,https://patentimages.storage.googleapis.com/47/31/2e/b3fcd4774b0c0f/USD0927799-20210810-D00000.png
US-D929050-S,Pet coat ,Shaorong Shen,Shaorong Shen,2020-09-15,2020-09-15,2021-08-24,2021-08-24,https://patents.google.com/patent/USD929050S1/en,https://patentimages.storage.googleapis.com/4b/8c/7e/d9c6c046c97099/USD0929050-20210824-D00000.png
US-D920588-S,Pet carrier ,"Shenzhen Qianhai Patuoxun Network And Technology Co., Ltd",Qian Chen,2020-09-23,2020-09-23,2021-05-25,2021-05-25,https://patents.google.com/patent/USD920588S1/en,https://patentimages.storage.googleapis.com/5d/eb/64/1b91c0c3ab38b9/USD0920588-20210525-D00000.png
US-D919200-S,Pet wheelchair ,"Shenzhen Ailin Trading Co., Ltd",Zhihao Zeng,2020-09-07,2020-09-07,2021-05-11,2021-05-11,https://patents.google.com/patent/USD919200S1/en,https://patentimages.storage.googleapis.com/79/0b/d2/0dc39b9a423e16/USD0919200-20210511-D00000.png
US-D915762-S,Pet bag ,"Shenzhen Keenstone Technology Co., Ltd",Zhongrun Li,2020-09-03,2020-09-03,2021-04-13,2021-04-13,https://patents.google.com/patent/USD915762S1/en,https://patentimages.storage.googleapis.com/a0/bc/41/2fc5c26bd1abb3/USD0915762-20210413-D00000.png
