search URL:,https://patents.google.com/?q=polyethyleneterephthalate&country=US&before=priority:20190228&after=priority:20190201&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2020410910-A1,"Electroluminescent display panel, method for manufacturing the same, and display device ","Boe Technology Group Co., Ltd.","Congcong Jia, Xiaojin Zhang",2019-02-22,2019-12-25,2020-12-31,,https://patents.google.com/patent/US20200410910A1/en,https://patentimages.storage.googleapis.com/82/85/45/a60e2087b42809/US20200410910A1-20201231-D00000.png
US-2020288983-A1,Respiratory core body temperature measurement systems and methods ,Masimo Corporation,Valery G. Telfort,2019-02-26,2020-02-26,2020-09-17,,https://patents.google.com/patent/US20200288983A1/en,https://patentimages.storage.googleapis.com/bf/f8/8f/3a95b2cc648895/US20200288983A1-20200917-D00000.png
US-2020261086-A1,Insertable deactivator element for surgical stapler lockouts ,Ethicon Llc,"Mark S. Zeiner, Frederick E. Shelton, IV, Gregory J. Bakos, Ryan J. Laurent, Gregory G. Scott, Michael J. Stokes, Disha V. Labhasetwar",2019-02-19,2019-06-26,2020-08-20,,https://patents.google.com/patent/US20200261086A1/en,https://patentimages.storage.googleapis.com/7a/28/f9/1e4758c2094bfd/US20200261086A1-20200820-D00000.png
US-11041181-B2,Promoter and method for producing purine nucleotide using the same ,Cj Cheiljedang Corporation,"Min Ji Baek, Ji Hye Lee, So Jung PARK, Jee Yeon Bae",2019-02-26,2019-04-08,2021-06-22,2021-06-22,https://patents.google.com/patent/US11041181B2/en,
US-11058918-B1,Producing a workout video to control a stationary exercise machine ,"Icon Health & Fitness, Inc.","Eric S. Watterson, Chase Brammer, Christian Hathaway, Rebecca Lynn Capell",2019-02-12,2021-03-30,2021-07-13,2021-07-13,https://patents.google.com/patent/US11058918B1/en,https://patentimages.storage.googleapis.com/e1/91/53/d554f9d6fd253e/US11058918-20210713-D00000.png
US-D891026-S,Salmon pet treat ,"Spectrum Brands, Inc.","Gregory van Eyk, Tiffany Potter, Stephanie Hullverson",2019-02-25,2019-02-25,2020-07-28,2020-07-28,https://patents.google.com/patent/USD891026S1/en,https://patentimages.storage.googleapis.com/11/6f/4f/9d252a71cee3f3/USD0891026-20200728-D00000.png
US-D889766-S,Chicken leg pet treat ,"Spectrum Brands, Inc.","Gregory van Eyk, Tiffany Potter, Stephanie Hullverson",2019-02-22,2019-02-22,2020-07-14,2020-07-14,https://patents.google.com/patent/USD889766S1/en,https://patentimages.storage.googleapis.com/3d/bb/58/064d57609e4c1a/USD0889766-20200714-D00000.png
US-D920626-S,Pork chop pet treat ,"Spectrum Brands, Inc.","Gregory van Eyk, Tiffany Potter, Stephanie Hullverson",2019-02-08,2020-04-10,2021-06-01,2021-06-01,https://patents.google.com/patent/USD920626S1/en,https://patentimages.storage.googleapis.com/08/61/30/fd72eae19e03f7/USD0920626-20210601-D00000.png
US-2020267936-A1,Pet monitoring ,Bao Tran,Bao Tran,2019-02-26,2019-02-26,2020-08-27,,https://patents.google.com/patent/US20200267936A1/en,https://patentimages.storage.googleapis.com/1f/7c/1e/e3f10c7bee6bae/US20200267936A1-20200827-D00000.png
US-D861281-S,Pet chew ,"T.F.H. Publications, Inc.","Glen S. Axelrod, Ajay Gajria, Nancy S. Rivadeneira",2019-02-12,2019-02-12,2019-10-01,2019-10-01,https://patents.google.com/patent/USD861281S1/en,https://patentimages.storage.googleapis.com/9c/87/0d/902a66bb57a380/USD0861281-20191001-D00000.png
US-D887667-S,Lamb chop pet treat ,"Spectrum Brands, Inc.","Gregory van Eyk, Tiffany Potter, Stephanie Hullverson",2019-02-25,2019-02-25,2020-06-23,2020-06-23,https://patents.google.com/patent/USD887667S1/en,https://patentimages.storage.googleapis.com/7d/e1/e0/5b05ea8b4052ca/USD0887667-20200623-D00000.png
US-2020260689-A1,Nail grinder for pet animals ,Naftoli Jacobowitz,Naftoli Jacobowitz,2019-02-16,2019-02-16,2020-08-20,,https://patents.google.com/patent/US20200260689A1/en,https://patentimages.storage.googleapis.com/d6/e0/d0/b358c0c5d3d827/US20200260689A1-20200820-D00000.png
US-2021328268-A1,Electrochemical device and electronic device ,Ningde Amperex Technology Limited,"Qian WEN, Bin Wang, Jianming Zheng, Shuai Xu",2019-02-21,2021-06-29,2021-10-21,,https://patents.google.com/patent/US20210328268A1/en,https://patentimages.storage.googleapis.com/44/bb/cf/e6c1ac98f14344/US20210328268A1-20211021-D00000.png
US-2021225961-A1,"Display substrate and manufacturing method thereof, display control method ","Boe Technology Group Co., Ltd.","Zhongyuan Sun, Jinxiang XUE, Liang Chen, Guangcai YUAN",2019-02-02,2019-02-02,2021-07-22,,https://patents.google.com/patent/US20210225961A1/en,https://patentimages.storage.googleapis.com/d3/74/11/0c9339d2f6d175/US20210225961A1-20210722-D00000.png
US-11111470-B2,Packed-bed bioreactor systems and methods of using the same ,Corning Incorporated,"Ann MeeJin Ferrie, Vasiliy Nikolaevich Goral",2019-02-05,2020-09-30,2021-09-07,2021-09-07,https://patents.google.com/patent/US11111470B2/en,https://patentimages.storage.googleapis.com/66/5b/e6/8dc8d59a2e42eb/US11111470-20210907-D00000.png
US-2021361918-A1,Drug-coated balloon catheters for body lumens ,"Urotronic, Inc.","Lixiao Wang, Peter Barnett, David Hendrickson",2019-02-22,2020-02-21,2021-11-25,,https://patents.google.com/patent/US20210361918A1/en,https://patentimages.storage.googleapis.com/83/81/a5/7ba9959a328a74/US20210361918A1-20211125-D00000.png
US-2020251679-A1,Flexible display device ,"Samsung Display Co., Ltd.","Seung Hwa HA, Seung-Ho Jung, Kyu Young Kim",2019-02-01,2019-12-23,2020-08-06,,https://patents.google.com/patent/US20200251679A1/en,https://patentimages.storage.googleapis.com/93/b4/b9/0b292074beebb5/US20200251679A1-20200806-D00000.png
US-2020358013-A1,Flexible display apparatus ,"Boe Technology Group Co., Ltd.","Yonghong Zhou, Libin Liu",2019-02-01,2020-01-17,2020-11-12,,https://patents.google.com/patent/US20200358013A1/en,https://patentimages.storage.googleapis.com/a2/8c/55/98581db7408dcc/US20200358013A1-20201112-D00000.png
US-2020266368-A1,Display device including bonding member ,"Samsung Display Co., Ltd.","Jun Su PARK, Young Do Kim, Young Moon Kim, Kyung Lae RHO, Young Gil Park, Ji Hye SEO, Ki Cheol Song, Na Ri AHN, Jang Doo LEE",2019-02-19,2019-10-21,2020-08-20,,https://patents.google.com/patent/US20200266368A1/en,https://patentimages.storage.googleapis.com/bc/a2/e7/1702f2117e9de4/US20200266368A1-20200820-D00000.png
