search URL:,https://patents.google.com/?q=polyethyleneterephthalate&country=US&before=priority:20200831&after=priority:20200801&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-D903208-S,Pet bowl ,Zhenggen Hu,Zhenggen Hu,2020-08-18,2020-08-18,2020-11-24,2020-11-24,https://patents.google.com/patent/USD903208S1/en,https://patentimages.storage.googleapis.com/d5/fa/7a/62aa8cd27c5f4c/USD0903208-20201124-D00000.png
US-D912910-S,Pet water dispenser ,Zhiqi Xue,Zhiqi Xue,2020-08-07,2020-08-07,2021-03-09,2021-03-09,https://patents.google.com/patent/USD912910S1/en,https://patentimages.storage.googleapis.com/28/0e/64/7a9bb8853c9a58/USD0912910-20210309-D00000.png
US-11122078-B1,Systems and methods for private authentication with helper networks ,Private Identity Llc,Scott Edward Streit,2020-08-14,2021-02-24,2021-09-14,2021-09-14,https://patents.google.com/patent/US11122078B1/en,https://patentimages.storage.googleapis.com/b0/a3/87/25828e37ae66f8/US11122078-20210914-D00000.png
US-D908983-S,Pet nail clipper ,Fengbo Zhao,Fengbo Zhao,2020-08-06,2020-08-06,2021-01-26,2021-01-26,https://patents.google.com/patent/USD908983S1/en,https://patentimages.storage.googleapis.com/95/e1/e7/4fbf780d59a002/USD0908983-20210126-D00000.png
US-10842899-B1,Non-contact sanitizer dispenser glove ,Umm Al-Qura University,Rami A. Alfattani,2020-08-19,2020-08-19,2020-11-24,2020-11-24,https://patents.google.com/patent/US10842899B1/en,https://patentimages.storage.googleapis.com/86/45/59/99b9fb64da8434/US10842899-20201124-D00000.png
US-11096377-B1,Adjustable pet waste scoop ,Robert Rogers,Robert Rogers,2020-08-11,2020-08-11,2021-08-24,2021-08-24,https://patents.google.com/patent/US11096377B1/en,https://patentimages.storage.googleapis.com/33/38/c1/9ed47945156288/US11096377-20210824-D00000.png
US-11013210-B1,System and method for a pet cabinet ,Donald Lipp,Donald Lipp,2020-08-19,2020-08-19,2021-05-25,2021-05-25,https://patents.google.com/patent/US11013210B1/en,https://patentimages.storage.googleapis.com/53/d3/52/5fc90cb734add6/US11013210-20210525-D00000.png
US-D919196-S,Pet bowl stand ,"Shenzhen Shengjia Jianchuang Technology Co., Ltd.",Yiling Chen,2020-08-25,2020-08-25,2021-05-11,2021-05-11,https://patents.google.com/patent/USD919196S1/en,https://patentimages.storage.googleapis.com/c2/05/d9/dce48f1f3ddf38/USD0919196-20210511-D00000.png
US-D928420-S,Pet bed ,"Wuhan Lewei E-commerce Co., Ltd.",Wei Xu,2020-08-12,2020-08-12,2021-08-17,2021-08-17,https://patents.google.com/patent/USD928420S1/en,https://patentimages.storage.googleapis.com/ed/36/22/ad5bdab2e3051c/USD0928420-20210817-D00000.png
US-D926395-S,Pet cooling mat ,Yongguo Mei,Yongguo Mei,2020-08-18,2020-08-18,2021-07-27,2021-07-27,https://patents.google.com/patent/USD926395S1/en,https://patentimages.storage.googleapis.com/3a/e7/a4/cdc2516af7f6b1/USD0926395-20210727-D00000.png
US-D935702-S,Pet snuffle mat ,Jing Zhu,Jing Zhu,2020-08-04,2020-08-04,2021-11-09,2021-11-09,https://patents.google.com/patent/USD935702S1/en,https://patentimages.storage.googleapis.com/fe/bd/e0/5fe6facd146ea6/USD0935702-20211109-D00000.png
