search URL:,https://patents.google.com/?q=polyethyleneterephthalate&country=US&before=priority:20190131&after=priority:20190101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2020225699-A1,Display device ,"Samsung Display Co., Ltd.","Jae Young YU, Yong Gi KO, Bon Joo KOO, Yun Ha KIM, Jae Chun PARK, Nam Seok BAIK, Mikiya Itakura, Hyoung Jin LEE, Dae Guen CHOI, Sung Chul CHOI",2019-01-16,2020-01-15,2020-07-16,,https://patents.google.com/patent/US20200225699A1/en,https://patentimages.storage.googleapis.com/5b/e1/6a/5f09e0635bf889/US20200225699A1-20200716-D00000.png
US-2020227600-A1,"Led light source substrate, lighting device, and method of producing led light source substrate ",Sharp Kabushiki Kaisha,"Hisashi Watanabe, Hirotoshi Yasunaga, Youzou Kyoukane, Takeshi Masuda",2019-01-14,2020-01-02,2020-07-16,,https://patents.google.com/patent/US20200227600A1/en,https://patentimages.storage.googleapis.com/79/70/f0/42127a08045a72/US20200227600A1-20200716-D00000.png
US-10974020-B2,Systems and methods of mitigating negative effects of therapies with transcutaneous vibration ,"Apollo Neuroscience, Inc.","David Mayer Lowell Rabin, Kathryn Fantauzzi",2019-01-04,2019-12-20,2021-04-13,2021-04-13,https://patents.google.com/patent/US10974020B2/en,https://patentimages.storage.googleapis.com/07/0f/19/356f03d7464c85/US10974020-20210413-D00000.png
US-2020229069-A1,Method for providing location based communication services in wireless communication system and apparatus thereof ,Lg Electronics Inc.,SungDuck Chun,2019-01-16,2020-01-16,2020-07-16,,https://patents.google.com/patent/US20200229069A1/en,https://patentimages.storage.googleapis.com/4e/5b/f8/ddeea3ed579d75/US20200229069A1-20200716-D00000.png
US-2020239830-A1,Methods of Mycological Biopolymer Production ,Ecovative Design Llc,"Megan A. O'Brien, Alex Carlton, Peter Mueller",2019-01-25,2020-01-27,2020-07-30,,https://patents.google.com/patent/US20200239830A1/en,https://patentimages.storage.googleapis.com/a0/b7/ef/53f38678499edd/US20200239830A1-20200730-D00000.png
US-2021173023-A1,Systems and methods for data transmission in imaging system ,"Shanghai United Imaging Healthcare Co., Ltd.",Ling Ji,2019-01-28,2021-02-22,2021-06-10,,https://patents.google.com/patent/US20210173023A1/en,https://patentimages.storage.googleapis.com/46/14/33/0deac5445f8ed4/US20210173023A1-20210610-D00000.png
US-2020245235-A1,Method for selecting non-public network in wireless communication system and apparatus thereof ,Lg Electronics Inc.,SungDuck Chun,2019-01-24,2020-01-23,2020-07-30,,https://patents.google.com/patent/US20200245235A1/en,https://patentimages.storage.googleapis.com/00/90/40/d12512c5d6bc61/US20200245235A1-20200730-D00000.png
US-11112898-B2,"Force touch structure, force touch panel and display device ","Chengdu Boe Optoelectronics Technology Co., Ltd., Boe Technology Group Co., Ltd.","Qing Gong, Kwang Gyun Jang, Wenxiao NIU, Song JU",2019-01-09,2019-01-09,2021-09-07,2021-09-07,https://patents.google.com/patent/US11112898B2/en,https://patentimages.storage.googleapis.com/64/0b/18/c1b4f818e2296c/US11112898-20210907-D00000.png
US-2021043864-A1,Quantum dot light emitting diode device and manufacturing method thereof ,"Beijing Boe Technology Development Co., Ltd., Boe Technology Group Co., Ltd.",Dong Li,2019-01-02,2019-12-18,2021-02-11,,https://patents.google.com/patent/US20210043864A1/en,https://patentimages.storage.googleapis.com/41/44/77/52354e975c7245/US20210043864A1-20210211-D00000.png
US-2021329360-A1,Speaker device ,"Shenzhen Voxtech Co., Ltd.","ChaoWu Li, Yongjian LI, Yueqiang Wang",2019-01-05,2021-07-01,2021-10-21,,https://patents.google.com/patent/US20210329360A1/en,https://patentimages.storage.googleapis.com/59/e5/50/22d54c9744bbf6/US20210329360A1-20211021-D00000.png
