search URL:,https://patents.google.com/?q=carbon+fiber&country=US&before=priority:20180131&after=priority:20180101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2019217504-A1,Carbon fiber recycling method ,Uht Unitech Company Ltd.,Chih-Yung Wang,2018-01-12,2018-02-12,2019-07-18,,https://patents.google.com/patent/US20190217504A1/en,https://patentimages.storage.googleapis.com/d5/72/f0/c8977d0e6a318a/US20190217504A1-20190718-D00000.png
US-2019226786-A1,Carbon Fiber Barrel and Method for Making the Same ,"Modulus Composites, Inc.",William Justin Sloan,2018-01-19,2019-01-18,2019-07-25,,https://patents.google.com/patent/US20190226786A1/en,https://patentimages.storage.googleapis.com/12/51/8e/93c67f0b1384ea/US20190226786A1-20190725-D00000.png
US-2019218361-A1,Carbon fiber recycling device ,Uht Unitech Company Ltd.,Chih-Yung Wang,2018-01-12,2018-02-12,2019-07-18,,https://patents.google.com/patent/US20190218361A1/en,https://patentimages.storage.googleapis.com/5b/52/85/eeb488f2bac6ae/US20190218361A1-20190718-D00000.png
US-D884362-S,Carbon fiber fabric ,"Sekisui Chemical Co., Ltd.","Junnosuke Murakami, Junji Kuze, Atsuya Sugiura, Takahiro Yamaguchi",2018-01-19,2018-07-18,2020-05-19,2020-05-19,https://patents.google.com/patent/USD884362S1/en,https://patentimages.storage.googleapis.com/df/ba/db/30f1c1c873e910/USD0884362-20200519-D00000.png
US-2021214862-A1,Carbon fiber recycling method ,Uht Unitech Company Ltd.,Chih-Yung Wang,2018-01-12,2021-03-22,2021-07-15,,https://patents.google.com/patent/US20210214862A1/en,https://patentimages.storage.googleapis.com/3c/4d/d7/85216a1db82a21/US20210214862A1-20210715-D00000.png
US-2021222330-A1,Stabilized fiber bundle and method of manufacturing carbon fiber bundle ,"Toray Industries, Inc.","Yuki Nishikawa, Takahiro Ito, Hiroyuki Kaiki",2018-01-26,2019-01-17,2021-07-22,,https://patents.google.com/patent/US20210222330A1/en,https://patentimages.storage.googleapis.com/ac/65/7a/4d6056119d6ef2/US20210222330A1-20210722-D00000.png
US-10839506-B1,Detecting surface flaws using computer vision ,"Amazon Technologies, Inc.","Aniruddh Raghu, Joseph Rutland, Christian Leistner, Andres Perez Torres",2018-01-02,2019-07-08,2020-11-17,2020-11-17,https://patents.google.com/patent/US10839506B1/en,https://patentimages.storage.googleapis.com/37/62/92/604d35d3d5e7bd/US10839506-20201117-D00000.png
US-2019217894-A1,Frame assembly for a vehicle and vehicle having same ,"Honda Motor Co., Ltd.","Luke M. Upah, Daniel T. Sellars, Dakota D. Kirtland",2018-01-15,2018-01-15,2019-07-18,,https://patents.google.com/patent/US20190217894A1/en,https://patentimages.storage.googleapis.com/72/3b/c7/ea0feb43cd734f/US20190217894A1-20190718-D00000.png
US-2019209506-A1,Methods of reducing or preventing oxidation of ldl or lipid membranes in a subject in need thereof ,Amarin Pharmaceuticals Ireland Limited,Richard Preston Mason,2018-01-09,2019-01-09,2019-07-11,,https://patents.google.com/patent/US20190209506A1/en,https://patentimages.storage.googleapis.com/2a/6d/89/5dd46f55a26c21/US20190209506A1-20190711-D00000.png
US-2020358129-A1,"Electrochemical cells including selectively permeable membranes, systems and methods of manufacturing the same ","24M Technologies, Inc.","Junzheng Chen, Naoki Ota, Jeffry Disko, Yuki Kusachi",2018-01-08,2020-06-22,2020-11-12,,https://patents.google.com/patent/US20200358129A1/en,https://patentimages.storage.googleapis.com/34/bf/03/abc4db9a542700/US20200358129A1-20201112-D00000.png
