search URL:,https://patents.google.com/?q=E-Glass+Wool&country=US&before=priority:20210630&after=priority:20210601&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021384847-A1,"Materials and methods of manufacturing fluid resistant, breathable, and antibacterial triboelectric nanogenerators and electronic textiles ",Purdue Research Foundation,"Ramses Martinez, Marina Sala de Medeiros",,2021-06-07,2021-12-09,,https://patents.google.com/patent/US20210384847A1/en,https://patentimages.storage.googleapis.com/20/11/cb/9c66b14f9b595d/US20210384847A1-20211209-D00000.png
US-2021378360-A1,Fiber-composite-reinforced footwear ,Arris Composites Inc.,"Ethan Escowitz, Riley Reese",,2021-06-08,2021-12-09,,https://patents.google.com/patent/US20210378360A1/en,https://patentimages.storage.googleapis.com/bb/db/3f/f73409fed46d93/US20210378360A1-20211209-D00000.png
US-2021372637-A1,Methods and Systems for Air Management to Reduce or Block Exposure to Airborne Pathogens ,"Virender K. Sharma, Kunal M. Sharma","Virender K. Sharma, Kunal M. Sharma",,2021-06-02,2021-12-02,,https://patents.google.com/patent/US20210372637A1/en,https://patentimages.storage.googleapis.com/b7/21/c7/4c3ee14587522a/US20210372637A1-20211202-D00000.png
US-2021371592-A1,Aerogel compositions and manufacturing thereof ,"Aspen Aerogels, Inc.","Nicholas Anthony Zafiropoulos, Shannon Olga White, Jimmy Lee Clark",,2021-06-28,2021-12-02,,https://patents.google.com/patent/US20210371592A1/en,https://patentimages.storage.googleapis.com/91/8b/4b/2e9bf5eeddf34e/US20210371592A1-20211202-D00000.png
US-2021382242-A1,Optical fiber connection system including optical fiber alignment device ,CommScope Connectivity Belgium BVBA,"Jan Watté, Stefano Beri, Danny Willy August Verheyden, Marcos SAMPAIO, João DE OLIVEIRA CORTEZ, Juergen Albert Jan VAN ERPS, Evert Ludwig Bert EBRAERT, Yu Lu",,2021-06-04,2021-12-09,,https://patents.google.com/patent/US20210382242A1/en,https://patentimages.storage.googleapis.com/70/8f/e8/e906f86a1aa785/US20210382242A1-20211209-D00000.png
US-2021368877-A1,Personal Air Management Methods and Systems for Reducing or Blocking Exposure to Airborne Pathogens ,"Virender K. Sharma, Kunal M. Sharma","Virender K. Sharma, Kunal M. Sharma",,2021-06-02,2021-12-02,,https://patents.google.com/patent/US20210368877A1/en,https://patentimages.storage.googleapis.com/ab/16/de/b12cb51d13a0f8/US20210368877A1-20211202-D00000.png
US-2021371909-A1,Oligonucleotides and beads for 5 prime gene expression assay ,"Becton, Dickinson And Company",Katherine Lazaruk,,2021-06-01,2021-12-02,,https://patents.google.com/patent/US20210371909A1/en,https://patentimages.storage.googleapis.com/08/d4/6a/875a6757984d28/US20210371909A1-20211202-D00000.png
US-2021381007-A1,Methods and compositions for crispr editing of cells and correlating the edits to a resulting cellular nucleic acid profile ,"Inscripta, Inc.","Janine Mok, Miles Gander, Andrew Garst, Burak Dura, Deanna Church",,2021-06-03,2021-12-09,,https://patents.google.com/patent/US20210381007A1/en,https://patentimages.storage.googleapis.com/51/7e/f1/e49a1104579dab/US20210381007A1-20211209-D00000.png
US-2021379211-A1,Probes for imaging huntingtin protein ,"Chdi Foundation, Inc.","Celia Dominguez, John Wityak, Jonathan Bard, Christopher John Brown, Thomas Martin Krulle, Daniel Clark-Frew, Sarah Hayes",,2021-06-21,2021-12-09,,https://patents.google.com/patent/US20210379211A1/en,
US-2021371265-A1,Refrigeration Systems for Rapidly Cooling Food and Drinks ,"Coldsnap, Corp.","Matthew Fonte, Benjamin Fichera",,2021-06-01,2021-12-02,,https://patents.google.com/patent/US20210371265A1/en,https://patentimages.storage.googleapis.com/02/15/de/a8a185073d0c3e/US20210371265A1-20211202-D00000.png
US-11185444-B1,Image guidance methods and apparatus for glaucoma surgery ,Michael S. Berlin,Michael S. Berlin,,2021-06-08,2021-11-30,2021-11-30,https://patents.google.com/patent/US11185444B1/en,https://patentimages.storage.googleapis.com/17/18/23/4ae0abf221ad21/US11185444-20211130-D00000.png
US-2021376388-A1,Method for forming a 3d battery with horizontally-interdigitated electrodes ,"Millibatt, Inc.","Guangyi Sun, Cheolwoong Lim, Leland Smith, Janet Hur",,2021-06-02,2021-12-02,,https://patents.google.com/patent/US20210376388A1/en,https://patentimages.storage.googleapis.com/9f/bb/19/91703b250a622d/US20210376388A1-20211202-D00000.png
