search URL:,https://patents.google.com/?q=Aramid&country=US&before=priority:20200831&after=priority:20200801&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11193240-B2,"Paper comprising aramid pulp suitable for electrochemical cells, and electrochemical cells made therefrom ","Dupont Safety & Construction, Inc.","Mehdi Afshari, Byoung Sam Kang, Brian R. France",,2020-08-04,2021-12-07,2021-12-07,https://patents.google.com/patent/US11193240B2/en,https://patentimages.storage.googleapis.com/80/ed/85/f27db955ad46e8/US11193240-20211207-D00001.png
US-11013158-B1,Electrical shielding material composed of metallized stainless steel or low carbon steel monofilament yarns ,"Micrometal Technologies, Inc.",Thomas F. Burke,2020-08-17,2020-08-17,2021-05-18,2021-05-18,https://patents.google.com/patent/US11013158B1/en,https://patentimages.storage.googleapis.com/66/f3/1f/330a9f23376037/US11013158-20210518-D00000.png
US-11066145-B1,Method and apparatus for lighter-than-air airship with improved structure and delivery system ,"H2 Clipper, Inc.","Rinaldo S. Brutoco, Robert H. Shelton, Shawn Merritt",2020-08-28,2020-08-28,2021-07-20,2021-07-20,https://patents.google.com/patent/US11066145B1/en,https://patentimages.storage.googleapis.com/08/4d/c4/337d56c16fe237/US11066145-20210720-D00000.png
US-11129444-B1,Footwear article having repurposed material with concealing layer ,"Nike, Inc.",Kim Kovel,2020-08-07,2020-08-07,2021-09-28,2021-09-28,https://patents.google.com/patent/US11129444B1/en,https://patentimages.storage.googleapis.com/35/98/36/ac19dc23187d6b/US11129444-20210928-D00000.png
US-11097177-B1,Repulsion-based swim system and methods for use thereof ,Orkus Swim Llc,Kip Fuller,2020-08-25,2021-02-04,2021-08-24,2021-08-24,https://patents.google.com/patent/US11097177B1/en,https://patentimages.storage.googleapis.com/ea/c2/b5/c4d3ecac4b8a9d/US11097177-20210824-D00000.png
US-10912977-B1,Repulsion-based swim system and methods for use thereof ,Orkus Swim Llc,Kip Fuller,2020-08-25,2020-09-29,2021-02-09,2021-02-09,https://patents.google.com/patent/US10912977B1/en,https://patentimages.storage.googleapis.com/03/8e/c3/72e65f062ba5af/US10912977-20210209-D00000.png
US-10967936-B1,Watercraft system including water and/or air passageways ,Borja Rodriguez Guevara,Borja Rodriguez Guevara,2020-08-25,2020-08-25,2021-04-06,2021-04-06,https://patents.google.com/patent/US10967936B1/en,https://patentimages.storage.googleapis.com/95/e9/bc/e7cab70330f044/US10967936-20210406-D00000.png
US-10995923-B1,Vehicle lamp base having integrally formed spring to bias reflector ,Osram Sylvania Inc.,"Jason Lessard, Blair Weiss, Richard Holland",2020-08-24,2020-09-14,2021-05-04,2021-05-04,https://patents.google.com/patent/US10995923B1/en,https://patentimages.storage.googleapis.com/dc/f1/7d/1dd09bea0b845b/US10995923-20210504-D00000.png
US-10906812-B1,Methods of producing carbon nanoparticles ,King Abdulaziz University,"Numan Abdullah Ahmed Salah, Yousef Noman Abdullah Salah, Ahmed Salem Ahmed Alshahrie",2020-08-19,2020-08-19,2021-02-02,2021-02-02,https://patents.google.com/patent/US10906812B1/en,https://patentimages.storage.googleapis.com/6c/64/fe/9e4e4e184fb6cd/US10906812-20210202-D00000.png
US-10914046-B1,"System, apparatus, and method for installing a foundation ","Jamal Nasir, Haidar Jamal","Jamal Nasir, Haidar Jamal",2020-08-11,2020-08-11,2021-02-09,2021-02-09,https://patents.google.com/patent/US10914046B1/en,https://patentimages.storage.googleapis.com/d0/b5/6a/c37796850ed3b6/US10914046-20210209-D00000.png
