Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality
A47G9,A47G9,,28,10011.156853,5,0.363705,0.383837,0.000106,7,0.478632,168,0.042201
A47B47,A47B47,,17,4504.991364,5,0.336668,0.352233,0.000142,14,0.416667,50,0.015081
A47B91,A47B91,,11,3884.37883,5,0.32385,0.335258,0.000038,14,0.6,27,0.007505
A47F5,A47F5,,31,22603.96524,5,0.343481,0.360884,0.000321,14,0.310345,135,0.026347
G09F15,G09F15,,15,10347.912079,6,0.289553,0.301621,0.000031,14,0.483516,44,0.003726
A47B2097,A47B2097,,6,929.970436,5,0.321947,0.332651,0,14,0.9,9,0.006655
A47B97,A47B97,,6,929.970436,5,0.321947,0.332651,0,14,0.9,9,0.006655
F16M2200,F16M2200,,33,18221.931938,5,0.385566,0.407638,0.000312,12,0.419355,208,0.07165
A47F10,A47F10,,38,9327.068283,5,0.36288,0.383594,0.000464,8,0.327327,218,0.050687
A47F11,A47F11,,22,5604.724762,5,0.345461,0.362087,0.000057,8,0.57619,121,0.028659
A47F2010,A47F2010,,23,5387.490685,5,0.352768,0.370742,0.000032,8,0.575758,133,0.036485
G09F27,G09F27,,66,22824.949509,5,0.378378,0.403163,0.001297,15,0.284135,591,0.087148
G09F5,G09F5,,12,3384.166008,5,0.331146,0.344439,0,8,0.963636,53,0.015303
A47B88,A47B88,,26,6838.554298,5,0.367644,0.38826,0.000046,14,0.533333,160,0.056076
A47F9,A47F9,,26,4410.994331,5,0.380367,0.401369,0.000263,36,0.653333,196,0.069426
B25H3,B25H3,,29,8314.554802,5,0.360053,0.379015,0.000533,14,0.37037,140,0.029813
F24B1,F24B1,,9,5627.557358,5,0.31842,0.329797,0.001005,14,0.607143,17,0.004786
H01R4,H01R4,,74,45094.350281,5,0.398256,0.424161,0.001058,14,0.295662,777,0.123254
H02G3,H02G3,,110,81790.558578,4,0.419694,0.447363,0.002681,14,0.250765,1476,0.197393
A47B46,A47B46,,10,2417.828178,5,0.312378,0.323045,0.000503,14,0.805556,29,0.00481
A47B49,A47B49,,9,5452.268951,5,0.312352,0.322914,0,14,1,28,0.004728
A47F3,A47F3,,9,1817.422958,5,0.312352,0.322914,0,14,1,28,0.004728
A47J2037,A47J2037,,8,1377.839455,5,0.320441,0.331926,0,0,1,21,0.007177
A47J37,A47J37,,10,7040.797035,5,0.328425,0.340507,0.00001,0,0.694444,25,0.008802
B60N3,B60N3,,38,10704.811131,5,0.389639,0.411853,0.000299,6,0.318318,212,0.082652
A47C11,A47C11,,20,5143.223259,5,0.331547,0.346967,0.000003,14,0.766082,131,0.023879
A47C7,A47C7,,92,37977.074356,4,0.405497,0.432286,0.001886,14,0.213187,873,0.127143
A47G2029,A47G2029,,59,42477.005524,5,0.386343,0.410371,0.001004,14,0.3049,504,0.083167
B60J11,B60J11,,24,4863.132332,5,0.377485,0.397862,0.000169,5,0.624506,158,0.043838
B63B17,B63B17,,26,4273.210312,5,0.369486,0.389116,0.00029,5,0.553333,166,0.035139
B63B71,B63B71,,21,3396.261864,5,0.36631,0.385076,0.000313,5,0.747368,142,0.031699
