search URL:,https://patents.google.com/?q=aerogel&country=US&before=priority:20191231&after=priority:20191201&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2021170443-A1,Method of producing superhydrophobic coating film coated with aerogel nanocomposite ,Korea Institute Of Science And Technology,"Sang Woo Kim, Seong Jun Kim",2019-12-10,2020-03-02,2021-06-10,,https://patents.google.com/patent/US20210170443A1/en,https://patentimages.storage.googleapis.com/9c/f3/78/2797407bc83fa8/US20210170443A1-20210610-D00000.png
US-2021230007-A1,Process for preparing waterglass-based silica aerogels and products thereof ,Fundación Tecnalia Research & Innovation,"Eunate Goiti Ugarte, Marta Ocejo Lopez de Guereña",2019-12-23,2020-12-21,2021-07-29,,https://patents.google.com/patent/US20210230007A1/en,https://patentimages.storage.googleapis.com/47/b9/00/34dd15e47d0387/US20210230007A1-20210729-D00001.png
US-2021163303-A1,Aerogel-based components and systems for electric vehicle thermal management ,"Aspen Aerogels, Inc.","Owen R. Evans, George L. Gould, Kathryn Elizabeth deKrafft, David J. Mihalcik, David E. Baur",2019-12-02,2020-11-30,2021-06-03,,https://patents.google.com/patent/US20210163303A1/en,https://patentimages.storage.googleapis.com/e5/09/c0/5f33e1e91575bc/US20210163303A1-20210603-D00000.png
US-2021179800-A1,"Dispensable polyimide aerogel prepolymer, method of making the same, method of using the same, and substrate comprising patterned polyimide aerogel ",Raytheon Company,Thomas A. Hanft,2019-12-12,2019-12-12,2021-06-17,,https://patents.google.com/patent/US20210179800A1/en,https://patentimages.storage.googleapis.com/d2/9f/92/613e7d1cb73207/US20210179800A1-20210617-D00000.png
US-2021167438-A1,Components and systems to manage thermal runaway issues in electric vehicle batteries ,"Aspen Aerogels, Inc.","Owen R. Evans, George L. Gould, Kathryn Elizabeth deKrafft, David J. Mihalcik",2019-12-02,2020-11-30,2021-06-03,,https://patents.google.com/patent/US20210167438A1/en,https://patentimages.storage.googleapis.com/2e/6e/f2/5066048698b648/US20210167438A1-20210603-D00000.png
US-2021186009-A1,Dust formulation comprising a carrier to which active ingredients are applied via a solvent ,Bayer Cropscience Lp,"Alexander Ko, Kyle DENK",2019-12-19,2020-12-16,2021-06-24,,https://patents.google.com/patent/US20210186009A1/en,https://patentimages.storage.googleapis.com/4e/d7/be/18db8acb8fc04b/US20210186009A1-20210624-D00000.png
US-2021178724-A1,Fabric with Foam Core ,"Swnr Development, Llc","Dustin English, Timm Smith, Daniel L. English",2019-12-13,2020-12-14,2021-06-17,,https://patents.google.com/patent/US20210178724A1/en,https://patentimages.storage.googleapis.com/73/55/09/b5c1160342e9e9/US20210178724A1-20210617-D00000.png
US-2021196589-A1,"Compositions, dispensing systems and methods for providing sensorial and aesthetic benefits to acne prone skin ",L'oreal,"Stephanie Anne Venture VENTURE MORRIS, Nicholas David Stebbins",2019-12-26,2019-12-26,2021-07-01,,https://patents.google.com/patent/US20210196589A1/en,https://patentimages.storage.googleapis.com/0b/b7/5d/ba11073449769a/US20210196589A1-20210701-D00000.png
US-2021163157-A1,"Artificial Ring, Solenoid System to Terraform ","Olatunbosun J. Osinaike, Olatunde M. Osinaike, Peter Patterson","Olatunbosun J. Osinaike, Olatunde M. Osinaike, Peter Patterson",2019-12-02,2020-11-30,2021-06-03,,https://patents.google.com/patent/US20210163157A1/en,https://patentimages.storage.googleapis.com/68/5e/e7/9e97d704534989/US20210163157A1-20210603-D00000.png
US-2021171167-A1,Cold Weather Survival Suit ,Diego Jacobson,Diego Jacobson,2019-12-09,2020-12-02,2021-06-10,,https://patents.google.com/patent/US20210171167A1/en,https://patentimages.storage.googleapis.com/23/40/10/bc35e5a4c33384/US20210171167A1-20210610-D00000.png
US-2021200922-A1,"Scattering Measurement Analysis Method, Scattering Measurement Analysis Device, And Non-Transitory Computer-Readable Storage Medium Storing Scattering Measurement Analysis Program ",Rigaku Corporation,"Tomoyuki Iwata, Kazuhiko Omote, Kazuki Ito, Tetsuya Ozawa",2019-12-27,2020-12-23,2021-07-01,,https://patents.google.com/patent/US20210200922A1/en,https://patentimages.storage.googleapis.com/fc/08/83/ee4ead07f627cd/US20210200922A1-20210701-D00000.png
