search URL:,https://patents.google.com/?q=Polyimide+Foam&country=US&before=priority:20190131&after=priority:20190101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11165097-B2,"Electrolyte, electrochemical device and electronic device containing the same ",Ningde Amperex Technology Limited,"Chunrui XU, Wenqiang LI, Chao Tang, Shuirong Zhang",2019-01-25,2019-06-27,2021-11-02,2021-11-02,https://patents.google.com/patent/US11165097B2/en,
US-2020235392-A1,Graphene-carbon hybrid foam-protected anode active material coating for lithium-ion batteries ,"Nanotek Instruments, Inc.",Bor Z. Jang,2019-01-21,2019-01-21,2020-07-23,,https://patents.google.com/patent/US20200235392A1/en,https://patentimages.storage.googleapis.com/63/f6/1c/2efb51e2819281/US20200235392A1-20200723-D00000.png
US-11112898-B2,"Force touch structure, force touch panel and display device ","Chengdu Boe Optoelectronics Technology Co., Ltd., Boe Technology Group Co., Ltd.","Qing Gong, Kwang Gyun Jang, Wenxiao NIU, Song JU",2019-01-09,2019-01-09,2021-09-07,2021-09-07,https://patents.google.com/patent/US11112898B2/en,https://patentimages.storage.googleapis.com/64/0b/18/c1b4f818e2296c/US11112898-20210907-D00000.png
US-2019357808-A1,Three-dimensional folding self-driving flexible respiration monitoring sensor and preparing method thereof ,University Of Electronic Science And Technology Of China,"Huiling Tai, Yadong Jiang, Si WANG, Bohao Liu, Zhen Yuan, Qi Huang, Guangzhong Xie",2019-01-28,2019-08-05,2019-11-28,,https://patents.google.com/patent/US20190357808A1/en,https://patentimages.storage.googleapis.com/a7/78/be/185780ff66d258/US20190357808A1-20191128-D00000.png
US-2021072791-A1,Display device ,"Samsung Display Co., Ltd.","Jae Young YU, Yong Gi KO, Bon Joo KOO, Yun Ha KIM, Jae Chun PARK, Nam Seok BAIK, Mikiya Itakura, Hyoung Jin LEE, Dae Guen CHOI, Sung Chul CHOI",2019-01-16,2020-11-16,2021-03-11,,https://patents.google.com/patent/US20210072791A1/en,https://patentimages.storage.googleapis.com/d8/81/d0/88d7f64bce4fa0/US20210072791A1-20210311-D00000.png
US-2020231477-A1,Systems and methods for reducing total dissolved solids (tds) in wastewater by an algal biofilm treatment ,"Iowa State University Research Foundation, Inc., Metropolitan Water Reclamation District Of Greater Chicago","Zhiyou Wen, Juan PENG, Martin A. Gross, Kumar Kuldip, Thomas Kunetz",2019-01-22,2020-01-21,2020-07-23,,https://patents.google.com/patent/US20200231477A1/en,https://patentimages.storage.googleapis.com/3a/0a/2f/7aed924df92243/US20200231477A1-20200723-D00000.png
US-2020235619-A1,Rotor ,"Honda Motor Co., Ltd.",Kenta Uchida,2019-01-17,2020-01-08,2020-07-23,,https://patents.google.com/patent/US20200235619A1/en,https://patentimages.storage.googleapis.com/85/01/bf/9f1eeba2653811/US20200235619A1-20200723-D00000.png
US-2020233629-A1,Display device and method of driving the same ,"Samsung Display Co., Ltd.","Eun Kyung Yeon, Yi Joon Ahn, Ga Na KIM, Jung Hun NOH, Jae Been LEE",2019-01-22,2019-11-25,2020-07-23,,https://patents.google.com/patent/US20200233629A1/en,https://patentimages.storage.googleapis.com/2f/45/ff/229fe6c962398e/US20200233629A1-20200723-D00000.png
US-2020224745-A1,Nanovoided polymer for hybrid adaptive vibration control ,"Facebook Technologies, Llc","Renate Eva Klementine Landig, Kenneth Diest, Andrew John Ouderkirk",2019-01-16,2019-12-23,2020-07-16,,https://patents.google.com/patent/US20200224745A1/en,https://patentimages.storage.googleapis.com/2b/7c/75/5c3f5cd389b32a/US20200224745A1-20200716-D00000.png
US-2021321509-A1,"Highly heat-dissipating flexible printed circuit board (gfpcb), manufacturing method therefor, and led lamp for vehicle ","Seong Hwan Jung, Solueta",Seong Hwan Jung,2019-01-09,2021-06-25,2021-10-14,,https://patents.google.com/patent/US20210321509A1/en,https://patentimages.storage.googleapis.com/82/9a/14/b2647f30265e2a/US20210321509A1-20211014-D00000.png
US-11118035-B2,Highly fire-resistant expanded polymeric material ,Armacell Enterprise Gmbh & Co. Kg,"Jon BEAUDRY, David Polito, Kartik PATEL",2019-01-14,2019-01-14,2021-09-14,2021-09-14,https://patents.google.com/patent/US11118035B2/en,https://patentimages.storage.googleapis.com/af/25/d4/bd664bfa721235/US11118035-20210914-D00001.png
US-2020234616-A1,Foldable display device ,"Samsung Display Co., Ltd.","Seung Hwa HA, Seung-Ho Jung",2019-01-22,2019-11-28,2020-07-23,,https://patents.google.com/patent/US20200234616A1/en,https://patentimages.storage.googleapis.com/0d/3c/73/f0f6cc2a7b7c0b/US20200234616A1-20200723-D00000.png
US-2020227794-A1,Adhesively joined cooling plate ,GM Global Technology Operations LLC,"Jason Mazza, Robert J. Schoenherr, Todd H. Fast, Roger M. Brisbane",2019-01-10,2019-01-10,2020-07-16,,https://patents.google.com/patent/US20200227794A1/en,https://patentimages.storage.googleapis.com/39/28/1d/b11bdc56cb6584/US20200227794A1-20200716-D00000.png
US-10991487-B2,Cable and producing method therefor ,"Hitachi Metals, Ltd.","Hideyuki Sagawa, Takahiro Sugiyama, Kazufumi Suenaga",2019-01-22,2020-01-10,2021-04-27,2021-04-27,https://patents.google.com/patent/US10991487B2/en,https://patentimages.storage.googleapis.com/83/3a/07/eea8c6881750dd/US10991487-20210427-D00000.png
US-2020227677-A1,"Protective film, manufacturing method thereof, and method of manufacturing display device using the same ","Samsung Display Co., Ltd.",Sungjune Park,2019-01-11,2019-10-08,2020-07-16,,https://patents.google.com/patent/US20200227677A1/en,https://patentimages.storage.googleapis.com/26/9b/09/3bd798191939cb/US20200227677A1-20200716-D00000.png
US-2020224048-A1,Recording liquid and printed matter ,"Juichi Furukawa, Tatsuya Tomura","Juichi Furukawa, Tatsuya Tomura",2019-01-11,2020-01-10,2020-07-16,,https://patents.google.com/patent/US20200224048A1/en,https://patentimages.storage.googleapis.com/5e/95/5d/6def8ad68440e0/US20200224048A1-20200716-D00000.png
