search URL:,https://patents.google.com/?q=Polyimide+Foam&country=US&before=priority:20210331&after=priority:20210301&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11072147-B1,Structural member consisting of dissimilar polymer materials ,Altum LLC,"Greg A. Karst, Kyle T. Gaines, Dominic P. Grandominico",2021-03-16,2021-03-16,2021-07-27,2021-07-27,https://patents.google.com/patent/US11072147B1/en,https://patentimages.storage.googleapis.com/6e/1d/b5/900d83af578509/US11072147-20210727-D00000.png
US-11142849-B1,Method of forming hollow fiber using multi-angle spinneret ,King Abdulaziz University,"Iqbal Ahmed Moujdin, Rosli Bin Mohd Yunus",2021-03-11,2021-03-11,2021-10-12,2021-10-12,https://patents.google.com/patent/US11142849B1/en,https://patentimages.storage.googleapis.com/ab/40/88/7bc8835288bab7/US11142849-20211012-D00000.png
